Table,test_concept_id,test_name,test_vocab,test_code,pt_count_test,per_total_pt
observation,40766229,Current state [PhenX],LOINC,63501-1,315278,0.999939739
observation,40766240,Are you covered by health insurance or some other kind of health care plan [PhenX],LOINC,63513-6,315007,0.999080232
observation,1585370,Home Own: Current Home Own,PPI,HomeOwn_CurrentHomeOwn,314994,0.999039001
observation,1585389,Health Insurance: Health Insurance Type,PPI,HealthInsurance_HealthInsuranceType,314994,0.999039001
observation,1585636,Recreational Drug Use: Which Drugs Used,PPI,RecreationalDrugUse_WhichDrugsUsed,314994,0.999039001
observation,1585766,Overall Health: Medical Form Confidence,PPI,OverallHealth_MedicalFormConfidence,314994,0.999039001
observation,1585772,Overall Health: Health Material Assistance,PPI,OverallHealth_HealthMaterialAssistance,314994,0.999039001
observation,1585778,Overall Health: Difficult Understand Info,PPI,OverallHealth_DifficultUnderstandInfo,314994,0.999039001
observation,1585803,Overall Health: Organ Transplant,PPI,OverallHealth_OrganTransplant,314994,0.999039001
observation,1585815,Overall Health: Outside Travel 6 Month,PPI,OverallHealth_OutsideTravel6Month,314994,0.999039001
observation,1585838,Gender: Gender Identity,PPI,Gender_GenderIdentity,314994,0.999039001
observation,1585879,Living Situation: How Many Living Years,PPI,LivingSituation_HowManyLivingYears,314994,0.999039001
observation,1585886,Living Situation: Stable House Concern,PPI,LivingSituation_StableHouseConcern,314994,0.999039001
observation,1585889,Living Situation: How Many People,PPI,LivingSituation_HowManyPeople,314994,0.999039001
observation,1585890,Living Situation: People Under 18,PPI,LivingSituation_PeopleUnder18,314994,0.999039001
observation,1585899,The Basics: Sexual Orientation,PPI,TheBasics_SexualOrientation,314994,0.999039001
observation,1586140,Race: What Race Ethnicity,PPI,Race_WhatRaceEthnicity,314994,0.999039001
observation,1586166,Electronic Smoking: Electric Smoke Participant,PPI,ElectronicSmoking_ElectricSmokeParticipant,314994,0.999039001
observation,1586174,Cigar Smoking: Cigar Smoke Participant,PPI,CigarSmoking_CigarSmokeParticipant,314994,0.999039001
observation,1586182,Hookah Smoking: Hookah Smoke Participant,PPI,HookahSmoking_HookahSmokeParticipant,314994,0.999039001
observation,1586190,Smokeless Tobacco: Smokeless Tobacco Participant,PPI,SmokelessTobacco_SmokelessTobaccoParticipant,314994,0.999039001
observation,3005917,Birthplace,LOINC,21842-0,314994,0.999039001
observation,3046344,Marital status,LOINC,45404-1,314994,0.999039001
observation,40764338,"In general, would you say your health is [PROMIS]",LOINC,61577-3,314994,0.999039001
observation,40764339,"In general, would you say your quality of life is [PROMIS]",LOINC,61578-1,314994,0.999039001
observation,40764340,"In general, how would you rate your physical health [PROMIS]",LOINC,61579-9,314994,0.999039001
observation,40764341,"In general, how would you rate your mental health, including your mood and your ability to think [PROMIS]",LOINC,61580-7,314994,0.999039001
observation,40764342,"In general, how would you rate your satisfaction with you social activities and relationships [PROMIS]",LOINC,61581-5,314994,0.999039001
observation,40764343,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair [PROMIS]",LOINC,61582-3,314994,0.999039001
observation,40764344,How would you rate your pain on average in past 7 days [PROMIS],LOINC,61583-1,314994,0.999039001
observation,40764345,How would you rate your fatigue on average in past 7 days [PROMIS],LOINC,61584-9,314994,0.999039001
observation,40764346,"In general, please rate how well you carry out your usual social activities and roles [PROMIS]",LOINC,61585-6,314994,0.999039001
observation,40764347,"How often have you been bothered by emotional problems such as feeling anxious, depressed or irritable in past 7 days [PROMIS]",LOINC,61586-4,314994,0.999039001
observation,40766306,Smoked at least 100 cigarettes in entire life,LOINC,63581-3,314994,0.999039001
observation,40766357,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips [AUDADIS-IV]",LOINC,63633-2,314994,0.999039001
observation,40771090,Current occupational status [SAMHSA],LOINC,68505-7,314994,0.999039001
observation,40771091,What is the highest grade or level of schooling you completed [SAMHSA],LOINC,68506-5,314994,0.999039001
observation,46235933,Total combined household income range in last year,LOINC,77244-2,314994,0.999039001
observation,1585845,Biological Sex At Birth: Sex At Birth,PPI,BiologicalSexAtBirth_SexAtBirth,314730,0.998201696
observation,1586099,EHR Consent PII: Consent Permission,PPI,EHRConsentPII_ConsentPermission,304130,0.9645826
observation,40771103,How often do you have a drink containing alcohol,LOINC,68518-0,271551,0.861254627
measurement,3036277,Body height,LOINC,8302-2,264794,0.839824039
measurement,3027018,Heart rate,LOINC,8867-4,264767,0.839738405
measurement,3025315,Body weight,LOINC,29463-7,264674,0.839443445
measurement,3004249,Systolic blood pressure,LOINC,8480-6,263831,0.836769776
measurement,3012888,Diastolic blood pressure,LOINC,8462-4,263788,0.836633396
measurement,3022318,Heart rate rhythm,LOINC,8884-9,263425,0.835482101
measurement,903107,"Computed blood pressure systolic and diastolic, mean of 2nd and 3rd measures",PPI,blood-pressure-mean,263423,0.835475758
measurement,903126,"Computed heart rate, mean of 2nd and 3rd measures",PPI,heart-rate-mean,263423,0.835475758
measurement,903135,"Computed waist circumference, mean of closest two measures",PPI,waist-circumference-mean,263423,0.835475758
measurement,903136,"Computed hip circumference, mean of closest two measures",PPI,hip-circumference-mean,263423,0.835475758
measurement,3031203,Blood pressure panel,LOINC,35094-2,263423,0.835475758
measurement,40759207,Adult Waist Circumference Protocol,LOINC,56086-2,263423,0.835475758
measurement,40765148,PhenX - hip circumference protocol 020801,LOINC,62409-8,263423,0.835475758
measurement,903115,"Computed diastolic blood pressure, mean of 2nd and 3rd measures",PPI,blood-pressure-diastolic-mean,261167,0.828320599
measurement,903118,"Computed systolic blood pressure, mean of 2nd and 3rd measures",PPI,blood-pressure-systolic-mean,261167,0.828320599
measurement,3038553,Body mass index (BMI) [Ratio],LOINC,39156-5,260386,0.82584357
observation,43528625,Consent PII: Help With Consent,PPI,ConsentPII_HelpWithConsent,257371,0.816281157
observation,43528626,EHR Consent PII: Help With EHR Consent,PPI,EHRConsentPII_HelpWithEHRConsent,248425,0.787907909
observation,43528428,Health Insurance: Insurance Type Update,PPI,HealthInsurance_InsuranceTypeUpdate,247910,0.786274528
observation,1585482,Extra Consent: Todays Date,PPI,ExtraConsent_TodaysDate,226087,0.717060422
observation,40771104,How many standard drinks containing alcohol do you have on a typical day [SAMHSA],LOINC,68519-8,219754,0.696974599
observation,1586213,Alcohol: 6 or More Drinks Occurrence,PPI,Alcohol_6orMoreDrinksOccurence,218288,0.692325014
