question_concept_id,responce_concpet_id,Question,Response removed due to invalid value,q_cnt_before,a_cnt_before,ev_prop_before,q_pt_before,a_pt_before,pt_prop_before,q_cnt_after,a_cnt_after,ev_prop_after,q_pt_after,a_pt_after,pt_prop_after,ev_after_to_before_prop_diff,pt_after_to_before_prop_diff,ev_lower_confidence_interval,ev_upper_confidence_interval,pt_lower_confidence_interval,pt_upper_confidence_interval
1333156,45877994,Do you think you have had COVID-19?,Yes,903,36,0.03986711,556,32,0.057553957,4477,2015,0.450078177,2051,1260,0.614334471,0.410211067,0.556780514,0.390840731,0.429581403,0.528170762,0.585390266
1332763,1333320,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, known COVID-19",912,100,0.109649123,556,84,0.151079137,4709,1785,0.379061372,2051,1127,0.549488055,0.269412249,0.398408918,0.244851617,0.293972881,0.361669616,0.43514822
1333325,45877994,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",Yes,903,30,0.033222591,556,29,0.052158273,4477,885,0.197677016,2051,767,0.37396392,0.164454425,0.321805647,0.147940087,0.180968763,0.293876085,0.349735209
1332847,1333170,"In the past month, have the following behaviors increased in your household? Select all that apply.","None of the above (if selected, no other response options are available",1066,340,0.318949343,556,250,0.449640288,5273,2509,0.475820216,2051,1383,0.674305217,0.156870873,0.224664929,0.125814739,0.187927007,0.178609641,0.270720217
1333294,1333170,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.","None of the above (if selected, no other response options are available",1001,465,0.464535465,556,331,0.595323741,4954,3382,0.682680662,2051,1673,0.815699659,0.218145197,0.220375918,0.18464061,0.251649784,0.176261694,0.264490142
1333297,45877994,Do you personally know someone who has died of COVID-19?,Yes,311,76,0.24437299,250,64,0.256,3550,1228,0.345915493,1855,776,0.418328841,0.101542503,0.162328841,0.051286332,0.151798674,0.10375801,0.220899672
1333291,1333339,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Was not able to work due to COVID-19 related illness,1269,27,0.021276596,556,26,0.04676259,6392,497,0.077753442,2051,374,0.182350073,0.056476846,0.135587483,0.046174803,0.066778889,0.111354534,0.159820432
1310132,45880190,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Very likely,112,51,0.455357143,83,37,0.445783133,2535,1316,0.51913215,1553,901,0.580167418,0.063775007,0.134384285,-0.030483232,0.158033246,0.024670526,0.244098044
1332748,1332864,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",A few days (1-2 days),903,227,0.251384275,556,186,0.334532374,4477,1347,0.300871119,2051,934,0.455387616,0.049486844,0.120855242,0.018164827,0.080808861,0.076104586,0.165605898
903631,NA,How much time did you usually spend doing vigorous physical activities on one of those days (minutes per day)?,NA,285,180,0.631578947,215,145,0.674418605,517,381,0.736943907,392,308,0.785714286,0.10536496,0.111295681,0.037713207,0.173016713,0.036641832,0.18594953
