question_concept_id,responce_concpet_id,Question,Response removed due to invalid value,q_cnt,a_cnt,ev_prop,q_pt,a_pt,pt_prop,ev_lower_confidence_interval,ev_upper_confidence_interval,pt_lower_confidence_interval,pt_upper_confidence_interval
1333104,1333133,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Taking breaks from watching, reading, or listening to news stories, including social media",17874,2772,0.155085599,2220,1387,0.624774775,0.149778841,0.160392357,0.604633852,0.644915698
1333104,1333340,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs",17874,2489,0.139252546,2220,1297,0.584234234,0.134177071,0.144328021,0.563732553,0.604735915
1333104,1332789,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Making time to relax,17874,2052,0.114803625,2220,1164,0.524324324,0.110130205,0.119477045,0.503549991,0.545098657
1333104,1333130,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Connecting with others, including talking with people you trust about your concerns and how you are feeling",17874,1861,0.104117713,2220,1076,0.484684685,0.099640322,0.108595104,0.463895485,0.505473885
1333104,1333226,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Taking care of your body, such as taking deep breaths, stretching, or meditating",17874,1929,0.107922122,2220,1042,0.469369369,0.103373353,0.112470891,0.448609475,0.490129263
1333104,1333142,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Increasing watching, reading, or listening to news stories, including social media",17874,1409,0.078829585,2220,870,0.391891892,0.074879087,0.082780083,0.371584921,0.412198863
1333104,1333144,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Eating more food than usual,17874,1088,0.060870538,2220,701,0.315765766,0.057365413,0.064375663,0.296430216,0.335101316
1333104,1333199,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Contacting a healthcare provider,17874,896,0.050128679,2220,611,0.275225225,0.04692969,0.053327668,0.256646442,0.293804008
1333104,1333143,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Eating high fat or sugary foods,17874,1009,0.056450711,2220,609,0.274324324,0.053067304,0.059834118,0.255764449,0.292884199
1333104,1332761,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Delaying medical care for conditions other than COVID-19,17874,449,0.025120286,2220,343,0.154504505,0.022826119,0.027414453,0.139469699,0.169539311
1333104,1333030,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Drinking alcohol,17874,552,0.030882847,2220,338,0.152252252,0.028346644,0.03341905,0.137307566,0.167196938
1333104,1333170,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","None of the above (if selected, no other response options are available",17874,341,0.01907799,2220,263,0.118468468,0.017072499,0.021083481,0.1050256,0.131911336
1333104,1333149,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Eating less food than usual,17874,326,0.018238783,2220,254,0.114414414,0.016277058,0.020200508,0.101173217,0.127655611
1333104,1333122,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Using cannabis or marijuana,17874,184,0.010294282,2220,114,0.051351351,0.008814532,0.011774032,0.042170134,0.060532568
1333104,903096,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",PMI: Skip,17874,118,0.006601768,2220,111,0.05,0.005414554,0.007788982,0.040933944,0.059066056
1333104,1333237,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Using prescription drugs (like valium, etc)",17874,123,0.006881504,2220,92,0.041441441,0.005669569,0.008093439,0.033150604,0.049732278
1333104,1332785,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Smoking more cigarettes or vaping more,17874,132,0.007385029,2220,79,0.035585586,0.006129856,0.008640202,0.027879382,0.04329179
1333104,1333338,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Using non-prescription drugs,17874,77,0.004307933,2220,65,0.029279279,0.003347794,0.005268072,0.022266358,0.0362922
1333104,1333009,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Over exercise,17874,47,0.002629518,2220,37,0.016666667,0.001878754,0.003380282,0.011341339,0.021991995
1333291,1333170,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.","None of the above (if selected, no other response options are available",7673,1708,0.222598723,2220,924,0.416216216,0.213290871,0.231906575,0.395711341,0.436721091
1333291,1333242,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked remotely or from home more than you used to before COVID-19,7673,1423,0.185455493,2220,692,0.311711712,0.176759028,0.194151958,0.292443858,0.330979566
1333291,1333138,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked more hours than usual,7673,815,0.106216604,2220,473,0.213063063,0.0993225,0.113110708,0.196029886,0.23009624
1333291,903096,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",PMI: Skip,7673,606,0.078978235,2220,434,0.195495495,0.072943556,0.085012914,0.178998523,0.211992467
1333291,1333339,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Was not able to work due to COVID-19 related illness,7673,524,0.068291411,2220,396,0.178378378,0.06264739,0.073935432,0.162453407,0.194303349
1333291,1332771,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked reduced hours,7673,602,0.078456927,2220,394,0.177477477,0.072440496,0.084473358,0.161584065,0.193370889
1333291,1333150,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Income or pay has been reduced,7673,583,0.075980712,2220,381,0.171621622,0.070052036,0.081909388,0.155937075,0.187306169
1333291,1333029,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",I became unemployed,7673,374,0.048742343,2220,228,0.102702703,0.043924332,0.053560354,0.090074815,0.115330591
1333291,1333134,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Had serious financial problems,7673,294,0.038316174,2220,202,0.090990991,0.03402108,0.042611268,0.079027583,0.102954399
1333291,1333123,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked with children at home with me,7673,309,0.04027108,2220,195,0.087837838,0.035872258,0.044669902,0.076063176,0.0996125
1333291,1332772,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Not paid at all,7673,189,0.024631826,2220,148,0.066666667,0.021163674,0.028099978,0.056290323,0.077043011
1333291,1333136,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Had difficulty arranging for childcare,7673,166,0.021634302,2220,102,0.045945946,0.018379028,0.024889576,0.037236677,0.054655215
1333291,1333222,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Incurred increased costs for childcare expenses,7673,80,0.01042617,2220,52,0.023423423,0.008153418,0.012698922,0.017131985,0.029714861
1332847,1333170,"In the past month, have the following behaviors increased in your household? Select all that apply.","None of the above (if selected, no other response options are available",6350,2854,0.449448819,2220,1479,0.666216216,0.437213925,0.461683713,0.646600154,0.685832278
1332847,1333126,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with family members or loved ones,6350,1180,0.185826772,2220,742,0.334234234,0.176259816,0.195393728,0.314611577,0.353856891
1332847,1333240,"In the past month, have the following behaviors increased in your household? Select all that apply.",Snapping at or yelling at family members,6350,1227,0.193228346,2220,722,0.325225225,0.183517167,0.202939525,0.305738308,0.344712142
1332847,903096,"In the past month, have the following behaviors increased in your household? Select all that apply.",PMI: Skip,6350,620,0.097637795,2220,609,0.274324324,0.09033716,0.10493843,0.255764449,0.292884199
1332847,1333233,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with friends or coworkers,6350,469,0.073858268,2220,344,0.154954955,0.067425476,0.08029106,0.13990226,0.17000765
1333294,1333170,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.","None of the above (if selected, no other response options are available",5966,3851,0.645491116,2220,1768,0.796396396,0.633352612,0.65762962,0.779645849,0.813146943
1333294,903096,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",PMI: Skip,5966,923,0.154710023,2220,862,0.388288288,0.145533703,0.163886343,0.368015095,0.408561481
1333294,1333146,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay for food,5966,384,0.064364733,2220,285,0.128378378,0.058137663,0.070591803,0.114463431,0.142293325
1333294,1333223,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay rent,5966,353,0.059168622,2220,259,0.116666667,0.053181638,0.065155606,0.103312792,0.130020542
1333294,1333145,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay for gas,5966,221,0.037043245,2220,166,0.074774775,0.03225072,0.04183577,0.063833375,0.085716175
1333294,1333141,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Did not have enough money to pay for medications,5966,196,0.032852833,2220,136,0.061261261,0.028329702,0.037375964,0.051285709,0.071236813
1333294,1333227,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Did not have a regular place to sleep or stay,5966,38,0.006369427,2220,34,0.015315315,0.004350739,0.008388115,0.010206935,0.020423695
1332763,1332743,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.",Not that I know of,5630,3040,0.539964476,2220,1517,0.683333333,0.526945639,0.552983313,0.663982971,0.702683695
1332763,1333320,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, known COVID-19",5630,1886,0.334991119,2220,1172,0.527927928,0.322662221,0.347320017,0.507161439,0.548694417
