question_concept_id,responce_concpet_id,Question,Response removed due to invalid value,q_cnt_general,a_cnt_general,ev_prop_general,q_pt_general,a_pt_general,pt_prop_general,q_cnt_covid,a_cnt_covid,ev_prop_covid,q_pt_covid,a_pt_covid,pt_prop_covid,ev_covid_to_genral_prop_diff,pt_covid_to_genral_prop_diff,ev_lower_confidence_interval,ev_upper_confidence_interval,pt_lower_confidence_interval,pt_upper_confidence_interval,p-value
1333156,45877994,Do you think you have had COVID-19?,Yes,264664,16972,0.064126591,99713,10695,0.10725783,5389,2051,0.380590091,2220,1274,0.573873874,0.3164635,0.466616044,0.303466757,0.329460243,0.445955881,0.487276207,0
1333325,45877994,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",Yes,264664,10682,0.040360608,99713,9129,0.091552756,5389,916,0.169975877,2220,788,0.354954955,0.129615269,0.263402199,0.119558848,0.13967169,0.243417282,0.283387116,0
1332763,1333320,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, known COVID-19",270360,41285,0.152703802,99713,26679,0.267557891,5630,1886,0.334991119,2220,1172,0.527927928,0.182287317,0.260370037,0.169884087,0.194690547,0.239422558,0.281317516,1.13E-303
1333235,1332786,Which of the following symptoms did you have? (select all that apply).,Loss of smell or taste,59282,2036,0.03434432,9120,1882,0.206359649,5902,342,0.057946459,788,322,0.408629442,0.023602138,0.202269793,0.017463783,0.029740495,0.16695659,0.237582996,4.05E-20
713888,836874,When did your COVID-19 symptoms begin?,November or December 2020,24948,3615,0.144901395,16701,2989,0.178971319,1827,569,0.311439518,1241,445,0.358581789,0.166538123,0.17961047,0.144859293,0.188216953,0.152301944,0.206918996,1.37E-79
1333291,1333339,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Was not able to work due to COVID-19 related illness,362991,5374,0.014804775,99713,4387,0.043996269,7673,524,0.068291411,2220,396,0.178378378,0.053486637,0.134382109,0.047828958,0.059144314,0.118406343,0.150357875,9.35E-300
1333235,1332726,Which of the following symptoms did you have? (select all that apply).,Skipping meals,59282,2785,0.046978847,9120,2513,0.275548246,5902,345,0.058454761,788,311,0.394670051,0.011475914,0.119121805,0.005253062,0.017698766,0.083784355,0.154459255,9.60E-05
1333235,1332834,Which of the following symptoms did you have? (select all that apply).,A fever/feverish,59282,4233,0.071404474,9120,3796,0.41622807,5902,455,0.077092511,788,417,0.529187817,0.005688037,0.112959747,-0.001425739,0.012801813,0.076670203,0.149249291,0.112604755
1333235,1333131,Which of the following symptoms did you have? (select all that apply).,Unusually strong muscle pains/aches,59282,3957,0.06674876,9120,3508,0.384649123,5902,439,0.074381566,788,391,0.496192893,0.007632805,0.111543771,0.000643629,0.014621983,0.075234476,0.147853064,0.027619538
1333235,1333026,Which of the following symptoms did you have? (select all that apply).,Unusual fatigue,59282,6574,0.110893695,9120,5744,0.629824561,5902,636,0.107760081,788,566,0.718274112,-0.003133613,0.08844955,-0.011438381,0.005171153,0.055515058,0.121384044,0.477573872
1333235,1310075,Which of the following symptoms did you have? (select all that apply).,Chills or shivers (feeling too cold),59282,2840,0.047906616,9120,2617,0.286951754,5902,317,0.053710607,788,291,0.36928934,0.005803991,0.082337586,-0.000199075,0.011807057,0.047385739,0.117289433,0.051299733
