question_concept_id,Question,Total_pt,pt_changed_response,pt_changed_poportion,pt_lower_confidence_interval,pt_upper_confidence_interval
1332753,How often did you use cocaine?,48,30,0.625,0.488043352,0.761956648
1332866,"In the past 7 days, other things kept making me think about COVID-19.",33596,19865,0.59129063,0.586033943,0.596547317
1333292,"In the past 7 days, I felt watchful or on-guard.",33596,19170,0.570603643,0.565310657,0.575896629
1332748,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",62963,35217,0.559328495,0.555450597,0.563206393
1333303,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",33596,18680,0.556018574,0.550705677,0.561331471
1310051,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people. How often did you wear a face mask or face covering?",8557,4666,0.545284562,0.534734166,0.555834958
1332747,Do you think you have used more or less methamphetamine in the past month than you used to?,51,27,0.529411765,0.392424456,0.666399074
1333296,"In the past 7 days, I tried not to think about COVID-19.",33596,17731,0.527771163,0.522432858,0.533109468
1333102,"In the past month, have recommendations for socially distancing caused stress for you?",62963,32885,0.522290869,0.518389263,0.526192475
1332835,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",33596,16495,0.490981069,0.48563538,0.496326758
1333004,How often did you use methamphetamine?,51,25,0.490196078,0.352997532,0.627394624
1332829,Do you think you have used more or less hallucinogens in the past month than you used to?,61,29,0.475409836,0.350087832,0.60073184
1332741,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,33596,15822,0.470948922,0.465611396,0.476286448
1332805,Do you think you have used more or less cocaine in the past month than you used to?,48,22,0.458333333,0.31737711,0.599289556
1310060,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 but LESS than 50 people. How often did you wear a face mask or face covering?",1757,802,0.456459875,0.433169348,0.479750402
1333301,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",62963,28706,0.455918555,0.452028274,0.459808836
1332750,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,33596,14996,0.446362662,0.441046956,0.451678368
1333295,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",33596,14984,0.446005477,0.440690185,0.451320769
1333024,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,33596,14886,0.443088463,0.437776652,0.448400274
1332739,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",33596,14368,0.427669961,0.422379641,0.432960281
1333120,Choose the answer that is true for you in the past month. I am unhappy being so withdrawn.,33596,14004,0.416835338,0.411563256,0.42210742
1332749,"Choose the answer that best describes how you felt in the past month. In general, how happy are you?",33596,13932,0.414692225,0.40942406,0.41996039
1310062,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people. How often did you wear a face mask or face covering?",700,287,0.41,0.373565148,0.446434852
1332801,Do you think you have used more or less cannabis in the past month than you used to?,2762,1107,0.400796524,0.382520345,0.419072703
1332848,Please select the response that best reflects your behavior in the past month. I believe I can grow in positive ways by dealing with difficult situations.,33596,13146,0.391296583,0.386077909,0.396515257
1310052,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home. How often did you wear a face mask or face covering?",12213,4552,0.372717596,0.364142116,0.381293076
1332769,Who do you know who has died? Check all that apply.,11994,4347,0.362431216,0.353828365,0.371034067
1310056,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun."" How often did you wear a face mask or face covering?",7491,2706,0.36123348,0.350355625,0.372111335
1310138,"Compared with when they were in person at school or a childcare center, how much time are you spending on care and supervision of your children?",4644,1674,0.360465116,0.346656005,0.374274227
1332735,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",59659,21273,0.356576543,0.352732972,0.360420114
1333121,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",33596,11866,0.353196809,0.348085893,0.358307725
1333119,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",62963,21983,0.349141559,0.345418076,0.352865042
1310139,"Compared with when they were in in person school or a childcare center, how much time are you spending on helping your children with learning activities provided by their schools or childcare center?",4644,1605,0.345607235,0.331929548,0.359284922
1310132,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",38852,13103,0.337254195,0.332553159,0.341955231
1310053,"Thinking about your current social habits, in the last 5 days: I have visited nursing homes or long-term care facilities (outside of work duties). How often did you wear a face mask or face covering?",271,89,0.328413284,0.272498731,0.384327837
1333013,How often did you use cannabis?,2762,899,0.325488776,0.308014513,0.342963039
1333105,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",59659,19414,0.325416115,0.321656463,0.329175767
1333019,Do you think you have used more or less prescription opioids in the past month than you used to?,819,260,0.317460317,0.285580573,0.349340061
1332738,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",59659,18707,0.31356543,0.309842595,0.317288265
1310136,"In the past month, did you have a child(ren) enrolled in childcare centers, schools, or colleges that are learning remotely because of COVID-19?",6995,2168,0.309935668,0.299098026,0.32077331
1333300,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",62963,19507,0.309816877,0.306204941,0.313428813
1332826,Do you think you have used more or less prescription sedatives or prescription sleeping pills in the past month than you used to?,2076,624,0.300578035,0.280854595,0.320301475
1333221,Choose the answer that is true for you in the past month. I am an outgoing person.,33596,9863,0.293576616,0.288706968,0.298446264
1332752,How often did you use prescription sedatives or prescription sleeping pills?,2076,604,0.290944123,0.271406153,0.310482093
1332763,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.",62963,18163,0.288471007,0.284932233,0.292009781
1333328,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less courtesy than other people are.",33596,9286,0.276401953,0.271619799,0.281184107
1333022,Do you think you have used more or less of the other substance in the past month than you used to?,122,33,0.270491803,0.191667467,0.349316139
1310067,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people. What was the purpose of the large gathering?",700,187,0.267142857,0.234365003,0.299920711
1333311,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less respect than other people are.",33596,8873,0.264108822,0.259394681,0.268822963
1332795,How often did you use prescription opioids?,819,206,0.251526252,0.221810543,0.281241961
1332756,How long has it been since you last used an electronic nicotine product?,515,124,0.240776699,0.203850341,0.277703057
1310142,Do you plan to get the flu vaccine this season?,21023,4886,0.23241212,0.226702671,0.238121569
713888,When did your COVID-19 symptoms begin?,6018,1367,0.227151878,0.216565991,0.237737765
1333297,Do you personally know someone who has died of COVID-19?,51341,10927,0.21283185,0.209291322,0.216372378
1332807,Do you think you have used more or less prescription stimulants in the past month than you used to?,729,151,0.207133059,0.177715326,0.236550792
1333156,Do you think you have had COVID-19?,62963,11793,0.187300478,0.184253005,0.190347951
1332767,"In the past month: Did someone in your home smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?",33596,6284,0.187046077,0.182876312,0.191215842
1333020,How often did you use the other substance?,122,22,0.180327869,0.112106616,0.248549122
1333289,"Think about the time you spent walking in the last 7 days. During the last 7 days, did you walk for at least 10 minutes at a time?",33596,5610,0.166984165,0.162996042,0.170972288
1332755,How often did you use prescription stimulants?,729,115,0.157750343,0.131290339,0.184210347
1333011,"In the past month: Did you smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?",33596,4938,0.146981784,0.143195482,0.150768086
1332734,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",59659,8132,0.136308017,0.133554738,0.139061296
1333298,"In your day-to-day life, how often did this happen to you during the past month? You are called names or insulted.",33596,3573,0.106351947,0.103055392,0.109648502
1333018,Did you use prescription opioids in any way a doctor did not direct you to use it?,819,85,0.103785104,0.082897928,0.12467228
1332800,Did your use include smoking cannabis?,2762,277,0.100289645,0.089087127,0.111492163
1332806,Did you use prescription stimulants in any way a doctor did not direct you to use it?,729,69,0.094650206,0.073400481,0.115899931
1310133,"If you know it, what is your blood group?",44249,3595,0.081244774,0.078699152,0.083790396
1333325,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",62963,5059,0.080348776,0.078225499,0.082472053
1333293,"In your day-to-day life, how often did this happen to you during the past month? You are threatened or harassed.",33596,2560,0.076199548,0.073362481,0.079036615
1332824,Did you use prescription sedatives or prescription sleeping pills in any way a doctor did not direct you to use it?,2076,157,0.075626204,0.064252697,0.086999711
1310134,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people.",37578,2438,0.064878386,0.062388008,0.067368764
1332849,How long has it been since you last smoked?,4523,236,0.052177758,0.045696774,0.058658742
1333299,"In the past month: Did you use any type of electronic nicotine product? This includes e- cigarettes, vape pens, hookah pens, personal vaporizers and mods, e-cigars, e-pipes, and e-hookahs.",33596,1586,0.047208001,0.044940168,0.049475834
1310140,"Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?",44249,1980,0.044746774,0.042820418,0.04667313
1332745,"Do you regularly take immunosuppressant medications (including steroids, methotrexate, biologic agents)?",33596,1275,0.037950947,0.035907731,0.039994163
1332833,What is your current marital status?,33596,1188,0.035361353,0.033386426,0.03733628
1332762,"Thinking about your current social habits, in the last 5 days: I have visited nursing homes or long-term care facilities (outside of work duties).",59659,2045,0.034278147,0.032818174,0.03573812
1332744,Are you currently on chemotherapy or immunotherapy?,33596,946,0.028158114,0.026389211,0.029927017
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
