observation_concept_id,value_as_concept_id.x,value_as_concept_id.y,Response_count,concept_name.x,concept_name.y,concept_name
1333294,903096,1333170,32933,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",PMI: Skip,"None of the above (if selected, no other response options are available"
1332847,903096,1333170,20517,"In the past month, have the following behaviors increased in your household? Select all that apply.",PMI: Skip,"None of the above (if selected, no other response options are available"
1333291,903096,1333170,10752,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",PMI: Skip,"None of the above (if selected, no other response options are available"
1333297,45878245,45877994,9201,Do you personally know someone who has died of COVID-19?,No,Yes
1332763,1332743,1333320,8529,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.",Not that I know of,"Yes, known COVID-19"
1332735,1332864,1333148,8528,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",A few days (1-2 days),None of the days (0 days)
1332738,1333148,1332864,8166,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",None of the days (0 days),A few days (1-2 days)
1332748,1333306,1332864,8071,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Most days (3-4 days),A few days (1-2 days)
1332735,1333148,1332864,7997,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",None of the days (0 days),A few days (1-2 days)
1333300,1333232,45883772,7815,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Most of the time; I try my best,All of the time
1333300,45883772,1333232,7506,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",All of the time,Most of the time; I try my best
1333102,45876949,45883172,7127,"In the past month, have recommendations for socially distancing caused stress for you?",A little,Not at all
1332738,1332864,1333148,6696,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",A few days (1-2 days),None of the days (0 days)
1333102,45876385,45876949,5721,"In the past month, have recommendations for socially distancing caused stress for you?",Somewhat,A little
1332748,45881677,1333306,5568,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Every day,Most days (3-4 days)
1333301,45881677,1333148,5430,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Every day,None of the days (0 days)
1333119,1333239,1333003,5312,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",Somewhat less than normal,A lot less than normal
1333119,1333003,1333239,5140,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",A lot less than normal,Somewhat less than normal
1333102,45876949,45876385,4993,"In the past month, have recommendations for socially distancing caused stress for you?",A little,Somewhat
1333105,1333148,1332864,4520,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",None of the days (0 days),A few days (1-2 days)
1333301,1333148,1332864,4300,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",None of the days (0 days),A few days (1-2 days)
1310132,45879592,45880190,4202,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Likely,Very likely
1333301,1332864,1333148,4137,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",A few days (1-2 days),None of the days (0 days)
1332748,1332864,1333306,4097,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",A few days (1-2 days),Most days (3-4 days)
1333156,45883144,45878245,4092,Do you think you have had COVID-19?,Maybe,No
1333102,45883172,45876949,3993,"In the past month, have recommendations for socially distancing caused stress for you?",Not at all,A little
1333121,45879886,45883172,3718,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",Several days,Not at all
1333295,45881667,45883172,3673,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",A little bit,Not at all
1332734,1333148,1332864,3610,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of MORE than 10 people.",None of the days (0 days),A few days (1-2 days)
1332847,1333126,1333170,3561,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with family members or loved ones,"None of the above (if selected, no other response options are available"
1332749,1333116,37079442,3425,"Choose the answer that best describes how you felt in the past month. In general, how happy are you?",Moderately happy,Very happy
1332748,1333306,45881677,3416,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Most days (3-4 days),Every day
1332741,45879460,1333028,3366,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Neutral,Describes me
1333303,45884554,45881667,3325,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Moderately,A little bit
1333121,45883172,45879886,3248,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",Not at all,Several days
1333301,1333148,45881677,3177,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",None of the days (0 days),Every day
1310132,1310086,45880190,3139,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",I do not know yet,Very likely
1332866,45884554,45881667,3137,"In the past 7 days, other things kept making me think about COVID-19.",Moderately,A little bit
1332741,1333028,45879460,3082,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Describes me,Neutral
