question_concept_id,responce_concpet_id,Question,Response removed due to invalid value,q_cnt,a_cnt,ev_prop,q_pt,a_pt,pt_prop,ev_lower_confidence_interval,ev_upper_confidence_interval,pt_lower_confidence_interval,pt_upper_confidence_interval
1333325,45878245,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",No,264664,252349,0.953469304,99713,97161,0.974406547,0.952666843,0.954271765,0.973426365,0.975386729
1333015,NA,"Not including yourself, how many other people live at home with you?",NA,264664,250153,0.945171992,99713,96763,0.970415091,0.944304716,0.946039268,0.969363405,0.971466777
1333156,45878245,Do you think you have had COVID-19?,No,264664,218871,0.826976846,99713,87251,0.875021311,0.825535728,0.828417964,0.872968734,0.877073888
1332763,1332743,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.",Not that I know of,270360,205329,0.759465158,99713,84401,0.846439281,0.757854068,0.761076248,0.844201538,0.848677024
1333294,1333170,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.","None of the above (if selected, no other response options are available",281888,199373,0.707277358,99713,84316,0.845586834,0.705597654,0.708957062,0.843344019,0.847829649
1333119,1333003,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",A lot less than normal,264664,183086,0.691767675,99713,81359,0.815931724,0.690008456,0.693526894,0.813526317,0.818337131
1333300,45883772,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",All of the time,264664,169483,0.640370432,99713,75968,0.761866557,0.638542147,0.642198717,0.759222798,0.764510316
1332847,1333170,"In the past month, have the following behaviors increased in your household? Select all that apply.","None of the above (if selected, no other response options are available",303115,150887,0.497787968,99713,70251,0.704532007,0.496008008,0.499567928,0.701700108,0.707363906
1333104,1333340,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs",918790,145894,0.158789277,99713,66208,0.663985639,0.158041963,0.159536591,0.661053865,0.666917413
1333104,1333133,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Taking breaks from watching, reading, or listening to news stories, including social media",918790,141502,0.154009077,99713,65841,0.660305076,0.15327101,0.154747144,0.657365471,0.663244681
