condition_concept_id,concept_name,pt_cnt,mean_change,median_change,sd,ev_density
23325,Heartburn,64,3.268656716,1,3.02617549,3.467741935
23986,Disorder of pituitary gland,21,3.086956522,1,3.58435755,10.30357143
24134,Neck pain,346,3.763888889,1,3.722055693,9.977292576
24609,Hypoglycemia,28,2.580645161,0,3.580332815,3.131782946
25297,Acute pharyngitis,314,3.267045455,1,3.67068413,4.909090909
26662,Testicular hypofunction,33,3.027027027,2,4.2861652,12.28735632
27674,Nausea and vomiting,141,4.4,1,4.853768421,4.34973638
28060,Streptococcal sore throat,48,1.888888889,1,3.962591029,2.830039526
30437,Gastro-esophageal reflux disease with esophagitis,108,3.512605042,1,4.338751705,4.087774295
30753,Esophagitis,42,3.404761905,1,3.051722158,3.5
31317,Dysphagia,163,3.573033708,1,3.633184594,5.073076923
31602,Disorder of the larynx,20,1.636363636,0.5,2.468219047,2.683544304
31610,Disorder of esophagus,51,2.947368421,0,2.993456917,2.408805031
31821,Disorder of endocrine system,25,2.793103448,1,3.863504454,4.405940594
31967,Nausea,199,3.292792793,1,4.979930281,4.593575419
72404,Joint stiffness,22,3.481481481,1,3.890269802,5.511627907
72418,Scoliosis deformity of spine,40,2.666666667,0.5,3.507409739,5.285714286
72711,Shoulder stiff,30,3.5,1,3.294021055,14.44210526
72986,Disorder of lower leg,26,3.181818182,0.5,3.248905141,5.688073394
72993,"Localized, primary osteoarthritis",53,4.053571429,1,2.665835018,6.989795918
73008,Enthesopathy,63,1.941176471,0,4.014949024,2.78358209
73231,Arthralgia of temporomandibular joint,33,4.058823529,2,2.772975647,3.421568627
73300,Radial styloid tenosynovitis,26,2.333333333,0.5,5.313553063,5.757281553
73553,Arthropathy,63,2.391304348,1,3.052367652,4.797900262
73560,Calcaneal spur,24,2.75,-0.5,2.856152779,3.453703704
73754,Restless legs,120,3.592,2,3.438036946,8.301960784
73819,Pain of breast,80,1.426966292,0,3.62122785,4.060606061
73840,"Localized, primary osteoarthritis of the shoulder region",110,2.825,1,3.735913214,3.685950413
74125,Inflammatory polyarthropathy,39,3.128205128,2,3.976822187,7.613445378
74130,Thoracic spondylosis without myelopathy,23,2.958333333,1,3.759047058,2.890243902
74132,Degeneration of lumbosacral intervertebral disc,40,3.888888889,1,4.244981955,3.8
74174,Urinary symptoms,29,3.2,2,4.424517452,2.123966942
74396,Temporomandibular joint disorder,31,2.705882353,1,4.14625106,4.148648649
74635,Lumbosacral radiculopathy,37,2.659090909,1,3.072692865,3.980769231
74728,Synovitis and tenosynovitis,38,2.659574468,0,3.964009494,3.355450237
74731,Hypertrophic osteoarthropathy,45,2.541666667,0,3.029818143,3.142857143
74855,Genital herpes simplex,22,3,1.5,3.185464824,5.5
75004,Frank hematuria,50,2.185185185,1,2.996596709,5.524475524
75036,"Localized, primary osteoarthritis of the hand",96,2.01,0,3.60553607,4.74015748
75344,Intervertebral disc disorder,24,1.88,0.5,3.006936425,3.308823529
75576,Irritable bowel syndrome,133,3.333333333,1,3.317689424,7.697619048
75650,Proteinuria,60,3.746478873,2,4.133745651,7.060606061
75860,Constipation,225,3.449799197,1,4.426104023,4.601029601
75865,Disorder of the urinary system,22,1.913043478,1,2.533327637,2.822580645
75909,Disorder of bone,481,2.895463511,1,3.169221076,6.498455201
75911,Acquired hallux valgus,45,2.416666667,1,3.396670979,4.012048193
76786,Derangement of knee,25,3.04,0,3.406855833,3.801242236
77030,Disorder of breast,111,2.276422764,0,3.287456617,3.15443038
77074,Joint pain,171,2.72972973,1,3.661681572,5.110275689
77081,Tibialis tendinitis,30,3.166666667,0.5,3.039207398,4.543478261
77234,Benign neoplasm of colon,101,2.633027523,0,3.023145041,4.187165775
77630,Disorder of shoulder,86,2.820224719,0.5,3.55371138,3.628647215
77635,Disorder of hand,64,4.424242424,1,5.003074452,3.924657534
77646,Disorder of bone and articular cartilage,100,2.822429907,1,2.706445729,5.181518152
77670,Chest pain,500,2.787430684,1,4.058697087,7.015243902
77963,Achilles tendinitis,44,2.5,1.5,4.176851541,5.727941176
77965,Acquired trigger finger,61,2.787878788,1,2.793434926,7.101522843
78200,Benign mammary dysplasia,21,4.375,2,4.208834246,6.96969697
78228,Joint derangement,33,2.833333333,0,4.314352369,4.462121212
78232,Shoulder joint pain,434,3.199143469,1,3.698081527,9.432134996
78472,Microscopic hematuria,49,2.769230769,0,3.54262192,4.578125
78473,Solitary cyst of breast,43,2.159090909,1,3.216272304,2.710382514
78474,Hypertrophy of breast,25,3.612903226,0,3.118225991,4.928
78505,"Localized, primary osteoarthritis of the ankle and/or foot",89,2.717171717,1,3.964313485,3.285087719
78508,Arthralgia of the ankle and/or foot,170,2.924324324,0,3.512297525,5.881773399
78619,Contusion of knee,24,1.962962963,-1,4.360561059,2.073770492
78804,Fibrocystic disease of breast,49,2.392156863,0,3.057832588,4.010380623
79145,Ehlers-Danlos syndrome,24,4.703703704,3,4.402733012,37.91111111
79864,Hematuria syndrome,99,2.690909091,1,3.696259956,3.648192771
79908,Muscle weakness,89,3.27173913,2,4.572199154,8.683018868
79916,Acquired hallux rigidus,27,3.115384615,2,3.905216031,4.0125
80180,Osteoarthritis,285,3.122580645,1,3.298302459,5.493184634
80187,Medial epicondylitis,22,1.857142857,0,2.381385242,4.514705882
