condition_concept_id,concept_name,pt_cnt,mean_change,median_change,sd,ev_density
23325,Heartburn,62,3.268656716,1,2.891479853,3.467741935
23986,Disorder of pituitary gland,23,3.086956522,0,5.002766033,10.30357143
24134,Neck pain,343,3.763888889,2,4.111778519,9.977292576
24609,Hypoglycemia,26,2.580645161,0.5,4.301699128,3.131782946
25297,Acute pharyngitis,331,3.267045455,1,3.737275093,4.909090909
26662,Testicular hypofunction,34,3.027027027,2,2.949364716,12.28735632
27674,Nausea and vomiting,144,4.4,1.5,4.685360493,4.34973638
28060,Streptococcal sore throat,53,1.888888889,0,3.540456622,2.830039526
29735,Candidiasis of mouth,23,1.84,-1,3.882666457,2.76
30437,Gastro-esophageal reflux disease with esophagitis,112,3.512605042,2,3.887235737,4.087774295
30753,Esophagitis,40,3.404761905,0,4.094320644,3.5
31317,Dysphagia,157,3.573033708,2,3.764101908,5.073076923
31602,Disorder of the larynx,21,1.636363636,-1,3.195979617,2.683544304
31610,Disorder of esophagus,54,2.947368421,0.5,3.531083893,2.408805031
31821,Disorder of endocrine system,26,2.793103448,1,2.391330495,4.405940594
31967,Nausea,205,3.292792793,1,4.421897816,4.593575419
72404,Joint stiffness,24,3.481481481,2,3.507497146,5.511627907
72418,Scoliosis deformity of spine,37,2.666666667,0,3.727787064,5.285714286
72711,Shoulder stiff,28,3.5,0,3.713980451,14.44210526
72986,Disorder of lower leg,31,3.181818182,0,4.069556527,5.688073394
72993,"Localized, primary osteoarthritis",56,4.053571429,2,4.46283353,6.989795918
73008,Enthesopathy,58,1.941176471,0,3.613512317,2.78358209
73231,Arthralgia of temporomandibular joint,34,4.058823529,2,3.424380449,3.421568627
73300,Radial styloid tenosynovitis,26,2.333333333,0,5.759807689,5.757281553
73553,Arthropathy,65,2.391304348,1,3.343334356,4.797900262
73560,Calcaneal spur,21,2.75,0,3.30583899,3.453703704
73754,Restless legs,112,3.592,2,3.424857558,8.301960784
73819,Pain of breast,83,1.426966292,0,3.540745575,4.060606061
73840,"Localized, primary osteoarthritis of the shoulder region",111,2.825,1,3.42431925,3.685950413
74125,Inflammatory polyarthropathy,37,3.128205128,1,3.712854062,7.613445378
74130,Thoracic spondylosis without myelopathy,23,2.958333333,1,3.654008574,2.890243902
74132,Degeneration of lumbosacral intervertebral disc,42,3.888888889,1,3.753511712,3.8
74174,Urinary symptoms,26,3.2,0,5.261763378,2.123966942
74396,Temporomandibular joint disorder,32,2.705882353,0.5,5.260550075,4.148648649
74635,Lumbosacral radiculopathy,39,2.659090909,1,3.281033707,3.980769231
74728,Synovitis and tenosynovitis,39,2.659574468,0,3.253773891,3.355450237
74731,Hypertrophic osteoarthropathy,43,2.541666667,1,4.802753917,3.142857143
74855,Genital herpes simplex,21,3,0,3.124404705,5.5
75004,Frank hematuria,51,2.185185185,1,3.142123673,5.524475524
75036,"Localized, primary osteoarthritis of the hand",96,2.01,0,2.999342033,4.74015748
75344,Intervertebral disc disorder,24,1.88,1,2.48145294,3.308823529
75576,Irritable bowel syndrome,129,3.333333333,1,3.8390272,7.697619048
75650,Proteinuria,65,3.746478873,1,4.950135973,7.060606061
75860,Constipation,230,3.449799197,1,4.360044347,4.601029601
