question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28034,Description of main home,9952,9952,-3,Prefer not to answer,7,7,7.03E-04,7.03E-04
28034,Description of main home,9952,9952,1,A house or bungalow,8379,8379,0.841941318,0.841941318
28034,Description of main home,9952,9952,2,An apartment or flat with no outside space,511,511,0.051346463,0.051346463
28034,Description of main home,9952,9952,3,An apartment or flat with outside space,1012,1012,0.101688103,0.101688103
28034,Description of main home,9952,9952,4,A mobile home or caravan,20,20,0.002009646,0.002009646
28034,Description of main home,9952,9952,5,"A care home, hospital or other similar public residence",5,5,5.02E-04,5.02E-04
28034,Description of main home,9952,9952,6,Other,18,18,0.001808682,0.001808682
28035,Number of separate rooms in main home,9947,9947,-3,Prefer not to answer,9,9,9.05E-04,9.05E-04
28035,Number of separate rooms in main home,9947,9947,1,1,66,66,0.006635166,0.006635166
28035,Number of separate rooms in main home,9947,9947,2,2,298,298,0.029958782,0.029958782
28035,Number of separate rooms in main home,9947,9947,3,3,824,824,0.082839047,0.082839047
28035,Number of separate rooms in main home,9947,9947,4,4,1431,1431,0.143862471,0.143862471
28035,Number of separate rooms in main home,9947,9947,5,5,2119,2119,0.213029054,0.213029054
28035,Number of separate rooms in main home,9947,9947,6,7-Jun,3554,3554,0.357293656,0.357293656
28035,Number of separate rooms in main home,9947,9947,7,10-Aug,1495,1495,0.150296572,0.150296572
28035,Number of separate rooms in main home,9947,9947,8,15-Nov,139,139,0.013974063,0.013974063
28035,Number of separate rooms in main home,9947,9947,9,16-20,9,9,9.05E-04,9.05E-04
28036,Lives with others in main home,9947,9947,-3,Prefer not to answer,14,14,0.00140746,0.00140746
28036,Lives with others in main home,9947,9947,0,No,2521,2521,0.253443249,0.253443249
28036,Lives with others in main home,9947,9947,1,Yes,7412,7412,0.745149291,0.745149291
28037,Number of 0-4 year olds in main home,7412,7412,-3,Prefer not to answer,17,17,0.002293578,0.002293578
28037,Number of 0-4 year olds in main home,7412,7412,0,0,7101,7101,0.958041015,0.958041015
28037,Number of 0-4 year olds in main home,7412,7412,1,1,180,180,0.024284943,0.024284943
28037,Number of 0-4 year olds in main home,7412,7412,2,2,60,60,0.008094981,0.008094981
28037,Number of 0-4 year olds in main home,7412,7412,3,3,31,31,0.004182407,0.004182407
28037,Number of 0-4 year olds in main home,7412,7412,4,4,7,7,9.44E-04,9.44E-04
28037,Number of 0-4 year olds in main home,7412,7412,5,5,6,6,8.09E-04,8.09E-04
28038,Number of 5-11 year olds in main home,7412,7412,-3,Prefer not to answer,16,16,0.002158662,0.002158662
28038,Number of 5-11 year olds in main home,7412,7412,0,0,7154,7154,0.965191581,0.965191581
28038,Number of 5-11 year olds in main home,7412,7412,1,1,186,186,0.025094441,0.025094441
28038,Number of 5-11 year olds in main home,7412,7412,2,2,46,46,0.006206152,0.006206152
28039,Number of 12-18 year olds in main home,7412,7412,-3,Prefer not to answer,15,15,0.002023745,0.002023745
28039,Number of 12-18 year olds in main home,7412,7412,0,0,6752,6752,0.910955208,0.910955208
28039,Number of 12-18 year olds in main home,7412,7412,1,1,447,447,0.060307609,0.060307609
28039,Number of 12-18 year olds in main home,7412,7412,2,2,179,179,0.024150027,0.024150027
28039,Number of 12-18 year olds in main home,7412,7412,3,3,13,13,0.001753913,0.001753913
28040,Number of 19-29 year olds in main home,7412,7412,-3,Prefer not to answer,16,16,0.002158662,0.002158662
28040,Number of 19-29 year olds in main home,7412,7412,0,0,6080,6080,0.820291419,0.820291419
28040,Number of 19-29 year olds in main home,7412,7412,1,1,855,855,0.115353481,0.115353481
28040,Number of 19-29 year olds in main home,7412,7412,2,2,386,386,0.052077712,0.052077712
28040,Number of 19-29 year olds in main home,7412,7412,3,3,54,54,0.007285483,0.007285483
28040,Number of 19-29 year olds in main home,7412,7412,4,4,13,13,0.001753913,0.001753913
28041,Number of 30-39 year olds in main home,7412,7412,-3,Prefer not to answer,17,17,0.002293578,0.002293578
28041,Number of 30-39 year olds in main home,7412,7412,0,0,6748,6748,0.910415542,0.910415542
28041,Number of 30-39 year olds in main home,7412,7412,1,1,501,501,0.067593092,0.067593092
28041,Number of 30-39 year olds in main home,7412,7412,2,2,114,114,0.015380464,0.015380464
28041,Number of 30-39 year olds in main home,7412,7412,3,3,18,18,0.002428494,0.002428494
28041,Number of 30-39 year olds in main home,7412,7412,4,4,5,5,6.75E-04,6.75E-04
