question_id,question,answer_id,answer,q_ev.covid,q_pt.covid,a_ev.covid,a_pt.covid,ev_prop.covid,pt_prop.covid,q_ev.non_covid,q_pt.non_covid,a_ev.non_covid,a_pt.non_covid,ev_prop.non_covid,pt_prop.non_covid,ev_prop_difference,pt_prop_difference,lower_CI_ev,upper_CI_ev,lower_CI_pt,upper_CI_pt,p_value_ev,p_value_pt
28034,Description of main home,2,An apartment or flat with no outside space,314,314,20,20,0.063694268,0.063694268,9638,9638,491,491,0.050944179,0.050944179,0.012750088,0.012750088,0.009632792,0.015867384,0.009632792,0.015867384,0.002486788,0.002486788
28034,Description of main home,3,An apartment or flat with outside space,314,314,29,29,0.092356688,0.092356688,9638,9638,983,983,0.101992115,0.101992115,-0.009635427,-0.009635427,-0.012349621,-0.006921232,-0.012349621,-0.006921232,9.50E-04,9.50E-04
28034,Description of main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,9638,9638,7,7,7.26E-04,7.26E-04,NA,NA,NA,NA,NA,NA,NA,NA
28034,Description of main home,1,A house or bungalow,314,314,264,264,0.840764331,0.840764331,9638,9638,8115,8115,0.841979664,0.841979664,-0.001215333,-0.001215333,-0.002183368,-2.47E-04,-0.002183368,-2.47E-04,1.45E-05,1.45E-05
28034,Description of main home,4,A mobile home or caravan,NA,NA,NA,NA,NA,NA,9638,9638,20,20,0.002075119,0.002075119,NA,NA,NA,NA,NA,NA,NA,NA
28034,Description of main home,5,"A care home, hospital or other similar public residence",NA,NA,NA,NA,NA,NA,9638,9638,5,5,5.19E-04,5.19E-04,NA,NA,NA,NA,NA,NA,NA,NA
28035,Number of separate rooms in main home,4,4,314,314,45,45,0.143312102,0.143312102,9633,9633,1386,1386,0.143880411,0.143880411,-5.68E-04,-5.68E-04,-0.001230657,9.40E-05,-0.001230657,9.40E-05,3.96E-05,3.96E-05
28035,Number of separate rooms in main home,3,3,314,314,29,29,0.092356688,0.092356688,9633,9633,795,795,0.082528807,0.082528807,0.009827881,0.009827881,0.007086292,0.012569469,0.007086292,0.012569469,0.001189283,0.001189283
28035,Number of separate rooms in main home,-3,Prefer not to answer,NA,NA,NA,NA,NA,NA,9633,9633,9,9,9.34E-04,9.34E-04,NA,NA,NA,NA,NA,NA,NA,NA
28035,Number of separate rooms in main home,2,2,314,314,11,11,0.035031847,0.035031847,9633,9633,287,287,0.029793418,0.029793418,0.005238429,0.005238429,0.003232216,0.007244642,0.003232216,0.007244642,0.001752379,0.001752379
28035,Number of separate rooms in main home,7,10-Aug,314,314,49,49,0.156050955,0.156050955,9633,9633,1446,1446,0.150109,0.150109,0.005941955,0.005941955,0.003806022,0.008077888,0.003806022,0.008077888,3.96E-04,3.96E-04
28035,Number of separate rooms in main home,8,15-Nov,314,314,6,6,0.01910828,0.01910828,9633,9633,133,133,0.013806706,0.013806706,0.005301574,0.005301574,0.00328337,0.007319779,0.00328337,0.007319779,0.00379562,0.00379562
28035,Number of separate rooms in main home,5,5,314,314,72,72,0.229299363,0.229299363,9633,9633,2047,2047,0.212498702,0.212498702,0.016800661,0.016800661,0.013228747,0.020372575,0.013228747,0.020372575,7.91E-04,7.91E-04
28035,Number of separate rooms in main home,6,7-Jun,314,314,100,100,0.318471338,0.318471338,9633,9633,3454,3454,0.35855912,0.35855912,-0.040087782,-0.040087782,-0.045539568,-0.034635996,-0.045539568,-0.034635996,0.001124753,0.001124753
