question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28034,Description of main home,9638,9638,-3,Prefer not to answer,7,7,7.26E-04,7.26E-04
28034,Description of main home,9638,9638,1,A house or bungalow,8115,8115,0.841979664,0.841979664
28034,Description of main home,9638,9638,2,An apartment or flat with no outside space,491,491,0.050944179,0.050944179
28034,Description of main home,9638,9638,3,An apartment or flat with outside space,983,983,0.101992115,0.101992115
28034,Description of main home,9638,9638,4,A mobile home or caravan,20,20,0.002075119,0.002075119
28034,Description of main home,9638,9638,5,"A care home, hospital or other similar public residence",5,5,5.19E-04,5.19E-04
28034,Description of main home,9638,9638,6,Other,17,17,0.001763851,0.001763851
28035,Number of separate rooms in main home,9633,9633,-3,Prefer not to answer,9,9,9.34E-04,9.34E-04
28035,Number of separate rooms in main home,9633,9633,1,1,64,64,0.006643829,0.006643829
28035,Number of separate rooms in main home,9633,9633,2,2,287,287,0.029793418,0.029793418
28035,Number of separate rooms in main home,9633,9633,3,3,795,795,0.082528807,0.082528807
28035,Number of separate rooms in main home,9633,9633,4,4,1386,1386,0.143880411,0.143880411
28035,Number of separate rooms in main home,9633,9633,5,5,2047,2047,0.212498702,0.212498702
28035,Number of separate rooms in main home,9633,9633,6,7-Jun,3454,3454,0.35855912,0.35855912
28035,Number of separate rooms in main home,9633,9633,7,10-Aug,1446,1446,0.150109,0.150109
28035,Number of separate rooms in main home,9633,9633,8,15-Nov,133,133,0.013806706,0.013806706
28035,Number of separate rooms in main home,9633,9633,9,16-20,9,9,9.34E-04,9.34E-04
28036,Lives with others in main home,9633,9633,-3,Prefer not to answer,13,13,0.001349528,0.001349528
28036,Lives with others in main home,9633,9633,0,No,2461,2461,0.255475968,0.255475968
28036,Lives with others in main home,9633,9633,1,Yes,7159,7159,0.743174504,0.743174504
28037,Number of 0-4 year olds in main home,7159,7159,-3,Prefer not to answer,17,17,0.002374633,0.002374633
28037,Number of 0-4 year olds in main home,7159,7159,0,0,6859,6859,0.958094706,0.958094706
28037,Number of 0-4 year olds in main home,7159,7159,1,1,173,173,0.024165386,0.024165386
28037,Number of 0-4 year olds in main home,7159,7159,2,2,58,58,0.00810169,0.00810169
28037,Number of 0-4 year olds in main home,7159,7159,3,3,30,30,0.004190529,0.004190529
28037,Number of 0-4 year olds in main home,7159,7159,4,4,7,7,9.78E-04,9.78E-04
28037,Number of 0-4 year olds in main home,7159,7159,5,5,6,6,8.38E-04,8.38E-04
28038,Number of 5-11 year olds in main home,7159,7159,-3,Prefer not to answer,16,16,0.002234949,0.002234949
28038,Number of 5-11 year olds in main home,7159,7159,0,0,6913,6913,0.965637659,0.965637659
28038,Number of 5-11 year olds in main home,7159,7159,1,1,178,178,0.024863808,0.024863808
28038,Number of 5-11 year olds in main home,7159,7159,2,2,43,43,0.006006425,0.006006425
28039,Number of 12-18 year olds in main home,7159,7159,-3,Prefer not to answer,15,15,0.002095265,0.002095265
28039,Number of 12-18 year olds in main home,7159,7159,0,0,6532,6532,0.912417935,0.912417935
28039,Number of 12-18 year olds in main home,7159,7159,1,1,424,424,0.059226149,0.059226149
28039,Number of 12-18 year olds in main home,7159,7159,2,2,171,171,0.023886018,0.023886018
28039,Number of 12-18 year olds in main home,7159,7159,3,3,12,12,0.001676212,0.001676212
28040,Number of 19-29 year olds in main home,7159,7159,-3,Prefer not to answer,16,16,0.002234949,0.002234949
28040,Number of 19-29 year olds in main home,7159,7159,0,0,5890,5890,0.822740606,0.822740606
28040,Number of 19-29 year olds in main home,7159,7159,1,1,809,809,0.11300461,0.11300461
28040,Number of 19-29 year olds in main home,7159,7159,2,2,374,374,0.052241933,0.052241933
28040,Number of 19-29 year olds in main home,7159,7159,3,3,52,52,0.007263584,0.007263584
28040,Number of 19-29 year olds in main home,7159,7159,4,4,11,11,0.001536527,0.001536527
28041,Number of 30-39 year olds in main home,7159,7159,-3,Prefer not to answer,17,17,0.002374633,0.002374633
28041,Number of 30-39 year olds in main home,7159,7159,0,0,6525,6525,0.911440145,0.911440145
28041,Number of 30-39 year olds in main home,7159,7159,1,1,481,481,0.067188155,0.067188155
28041,Number of 30-39 year olds in main home,7159,7159,2,2,105,105,0.014666853,0.014666853
28041,Number of 30-39 year olds in main home,7159,7159,3,3,18,18,0.002514318,0.002514318
28041,Number of 30-39 year olds in main home,7159,7159,4,4,5,5,6.98E-04,6.98E-04
28042,Number of 40-49 year olds in main home,7159,7159,-3,Prefer not to answer,18,18,0.002514318,0.002514318
28042,Number of 40-49 year olds in main home,7159,7159,0,0,6519,6519,0.910602039,0.910602039
28042,Number of 40-49 year olds in main home,7159,7159,1,1,578,578,0.080737533,0.080737533
28042,Number of 40-49 year olds in main home,7159,7159,2,2,36,36,0.005028635,0.005028635
28043,Number of 50-59 year olds in main home,7159,7159,-3,Prefer not to answer,16,16,0.002234949,0.002234949
