question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28034,Description of main home,399,399,1,A house or bungalow,332,332,0.832080201,0.832080201
28034,Description of main home,399,399,2,An apartment or flat with no outside space,21,21,0.052631579,0.052631579
28034,Description of main home,399,399,3,An apartment or flat with outside space,41,41,0.102756892,0.102756892
28035,Number of separate rooms in main home,397,397,2,2,11,11,0.027707809,0.027707809
28035,Number of separate rooms in main home,397,397,3,3,36,36,0.090680101,0.090680101
28035,Number of separate rooms in main home,397,397,4,4,54,54,0.136020151,0.136020151
28035,Number of separate rooms in main home,397,397,5,5,97,97,0.244332494,0.244332494
28035,Number of separate rooms in main home,397,397,6,7-Jun,130,130,0.327455919,0.327455919
28035,Number of separate rooms in main home,397,397,7,10-Aug,58,58,0.146095718,0.146095718
28035,Number of separate rooms in main home,397,397,8,15-Nov,6,6,0.01511335,0.01511335
28036,Lives with others in main home,397,397,0,No,98,98,0.246851385,0.246851385
28036,Lives with others in main home,397,397,1,Yes,298,298,0.750629723,0.750629723
28037,Number of 0-4 year olds in main home,298,298,0,0,286,286,0.959731544,0.959731544
28038,Number of 5-11 year olds in main home,298,298,0,0,283,283,0.94966443,0.94966443
28038,Number of 5-11 year olds in main home,298,298,1,1,12,12,0.040268456,0.040268456
28039,Number of 12-18 year olds in main home,298,298,0,0,248,248,0.832214765,0.832214765
28039,Number of 12-18 year olds in main home,298,298,1,1,35,35,0.117449664,0.117449664
28039,Number of 12-18 year olds in main home,298,298,2,2,14,14,0.046979866,0.046979866
28040,Number of 19-29 year olds in main home,298,298,0,0,204,204,0.684563758,0.684563758
28040,Number of 19-29 year olds in main home,298,298,1,1,52,52,0.174496644,0.174496644
28040,Number of 19-29 year olds in main home,298,298,2,2,33,33,0.110738255,0.110738255
28040,Number of 19-29 year olds in main home,298,298,3,3,7,7,0.023489933,0.023489933
28041,Number of 30-39 year olds in main home,298,298,0,0,270,270,0.906040268,0.906040268
28041,Number of 30-39 year olds in main home,298,298,1,1,23,23,0.077181208,0.077181208
28041,Number of 30-39 year olds in main home,298,298,2,2,5,5,0.016778523,0.016778523
28042,Number of 40-49 year olds in main home,298,298,0,0,246,246,0.825503356,0.825503356
28042,Number of 40-49 year olds in main home,298,298,1,1,49,49,0.16442953,0.16442953
28043,Number of 50-59 year olds in main home,298,298,0,0,144,144,0.483221477,0.483221477
28043,Number of 50-59 year olds in main home,298,298,1,1,145,145,0.486577181,0.486577181
28043,Number of 50-59 year olds in main home,298,298,2,2,8,8,0.026845638,0.026845638
28044,Number of 60-69 year olds in main home,298,298,0,0,238,238,0.798657718,0.798657718
28044,Number of 60-69 year olds in main home,298,298,1,1,54,54,0.181208054,0.181208054
28044,Number of 60-69 year olds in main home,298,298,2,2,6,6,0.020134228,0.020134228
28045,Number of 70-79 year olds in main home,298,298,0,0,278,278,0.932885906,0.932885906
28045,Number of 70-79 year olds in main home,298,298,1,1,16,16,0.053691275,0.053691275
28046,Number of 80+ year olds in main home,298,298,0,0,284,284,0.953020134,0.953020134
28046,Number of 80+ year olds in main home,298,298,1,1,14,14,0.046979866,0.046979866
28047,Young people in main home attended school or other childcare setting between mid-March and the end of June (i.e the first UK lockdown),68,68,0,No,45,45,0.661764706,0.661764706
28047,Young people in main home attended school or other childcare setting between mid-March and the end of June (i.e the first UK lockdown),68,68,1,Yes,23,23,0.338235294,0.338235294
28048,Young people in main home attended school or other childcare setting between the start of July and mid-September,68,68,0,No,30,30,0.441176471,0.441176471
28048,Young people in main home attended school or other childcare setting between the start of July and mid-September,68,68,1,Yes,38,38,0.558823529,0.558823529
28049,Young people in main home attended school or other childcare setting between mid-September and the end of October,68,68,0,No,11,11,0.161764706,0.161764706
28049,Young people in main home attended school or other childcare setting between mid-September and the end of October,68,68,1,Yes,57,57,0.838235294,0.838235294
28050,Young people in main home attended school or other childcare setting between the start of November and the start of December,68,68,0,No,16,16,0.235294118,0.235294118
28050,Young people in main home attended school or other childcare setting between the start of November and the start of December,68,68,1,Yes,52,52,0.764705882,0.764705882
28051,Number of people in main home who regularly worked outside the home,300,300,0,0,161,161,0.536666667,0.536666667
28051,Number of people in main home who regularly worked outside the home,300,300,1,1,92,92,0.306666667,0.306666667
28051,Number of people in main home who regularly worked outside the home,300,300,2,2,30,30,0.1,0.1
28051,Number of people in main home who regularly worked outside the home,300,300,3,3,13,13,0.043333333,0.043333333
28052,Number of people in main home had COVID-19,300,300,-1,Do not know,12,12,0.04,0.04
28052,Number of people in main home had COVID-19,300,300,0,0,225,225,0.75,0.75
28052,Number of people in main home had COVID-19,300,300,1,1,46,46,0.153333333,0.153333333
28052,Number of people in main home had COVID-19,300,300,2,2,11,11,0.036666667,0.036666667
28052,Number of people in main home had COVID-19,300,300,3,3,5,5,0.016666667,0.016666667
28053,Number of people in main home tested positive for COVID-19,63,63,0,0,41,41,0.650793651,0.650793651
28053,Number of people in main home tested positive for COVID-19,63,63,1,1,16,16,0.253968254,0.253968254
28054,Care or support provided to people with COVID-19,25,21,-7,None of the above,10,10,0.4,0.476190476
28054,Care or support provided to people with COVID-19,25,21,2,"Providing other support (e.g., preparing meals, grocery shopping, using the telephone, collecting medication, managing money)",10,10,0.4,0.476190476
28055,Time spent per day within 1 metre of people with COVID-19,21,21,5,More than 2 hours,11,11,0.523809524,0.523809524
28056,Qualifications,882,399,-3,Prefer not to answer,6,6,0.006802721,0.015037594
28056,Qualifications,882,399,-7,None of the above,15,15,0.017006803,0.037593985
28056,Qualifications,882,399,1,College or University degree,224,224,0.253968254,0.561403509
28056,Qualifications,882,399,2,A levels/AS levels or equivalent,133,133,0.150793651,0.333333333
28056,Qualifications,882,399,3,O levels/GCSEs or equivalent,201,201,0.227891156,0.503759398
28056,Qualifications,882,399,4,CSEs or equivalent,79,79,0.089569161,0.197994987
28056,Qualifications,882,399,5,NVQ or HND or HNC or equivalent,99,99,0.112244898,0.248120301
28056,Qualifications,882,399,6,"Other professional qualifications eg: nursing, teaching",125,125,0.141723356,0.313283208
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,1,Employed/Self-employed and working with others at a workplace,109,109,0.273182957,0.273182957
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,10,None of the above,7,7,0.01754386,0.01754386
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,2,Employed/Self-employed and working alone at a workplace,16,16,0.040100251,0.040100251
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,3,Employed/Self-employed and working from home,144,144,0.360902256,0.360902256
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,4,Retired,69,69,0.172932331,0.172932331
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,5,Looking after home and/or family,15,15,0.037593985,0.037593985
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,6,Unable to work because of sickness or disability,14,14,0.035087719,0.035087719
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,7,Unemployed,15,15,0.037593985,0.037593985
28057,Employment situation between mid-March and the end of June 2020 (i.e the first UK lockdown),399,399,8,Doing unpaid or voluntary work,5,5,0.012531328,0.012531328
28058,Employment situation changed since the end of June 2020,399,399,0,No,344,344,0.862155388,0.862155388
