question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28034,Description of main home,8607,8607,-3,Prefer not to answer,7,7,8.13E-04,8.13E-04
28034,Description of main home,8607,8607,1,A house or bungalow,7288,7288,0.846752643,0.846752643
28034,Description of main home,8607,8607,2,An apartment or flat with no outside space,420,420,0.04879749,0.04879749
28034,Description of main home,8607,8607,3,An apartment or flat with outside space,857,857,0.099570117,0.099570117
28034,Description of main home,8607,8607,4,A mobile home or caravan,20,20,0.00232369,0.00232369
28034,Description of main home,8607,8607,6,Other,13,13,0.001510399,0.001510399
28035,Number of separate rooms in main home,8605,8605,-3,Prefer not to answer,8,8,9.30E-04,9.30E-04
28035,Number of separate rooms in main home,8605,8605,1,1,49,49,0.005694364,0.005694364
28035,Number of separate rooms in main home,8605,8605,2,2,234,234,0.027193492,0.027193492
28035,Number of separate rooms in main home,8605,8605,3,3,698,698,0.08111563,0.08111563
28035,Number of separate rooms in main home,8605,8605,4,4,1227,1227,0.142591517,0.142591517
28035,Number of separate rooms in main home,8605,8605,5,5,1818,1818,0.211272516,0.211272516
28035,Number of separate rooms in main home,8605,8605,6,7-Jun,3123,3123,0.36292853,0.36292853
28035,Number of separate rooms in main home,8605,8605,7,10-Aug,1319,1319,0.153282975,0.153282975
28035,Number of separate rooms in main home,8605,8605,8,15-Nov,118,118,0.013712958,0.013712958
28035,Number of separate rooms in main home,8605,8605,9,16-20,8,8,9.30E-04,9.30E-04
28036,Lives with others in main home,8605,8605,-3,Prefer not to answer,12,12,0.001394538,0.001394538
28036,Lives with others in main home,8605,8605,0,No,2163,2163,0.251365485,0.251365485
28036,Lives with others in main home,8605,8605,1,Yes,6430,6430,0.747239977,0.747239977
28037,Number of 0-4 year olds in main home,6430,6430,-3,Prefer not to answer,13,13,0.002021773,0.002021773
28037,Number of 0-4 year olds in main home,6430,6430,0,0,6171,6171,0.959720062,0.959720062
28037,Number of 0-4 year olds in main home,6430,6430,1,1,157,157,0.024416796,0.024416796
28037,Number of 0-4 year olds in main home,6430,6430,2,2,51,51,0.007931571,0.007931571
28037,Number of 0-4 year olds in main home,6430,6430,3,3,21,21,0.003265941,0.003265941
28037,Number of 0-4 year olds in main home,6430,6430,4,4,7,7,0.001088647,0.001088647
28037,Number of 0-4 year olds in main home,6430,6430,5,5,5,5,7.78E-04,7.78E-04
28038,Number of 5-11 year olds in main home,6430,6430,-3,Prefer not to answer,13,13,0.002021773,0.002021773
28038,Number of 5-11 year olds in main home,6430,6430,0,0,6225,6225,0.968118196,0.968118196
28038,Number of 5-11 year olds in main home,6430,6430,1,1,149,149,0.023172628,0.023172628
28038,Number of 5-11 year olds in main home,6430,6430,2,2,39,39,0.006065319,0.006065319
28039,Number of 12-18 year olds in main home,6430,6430,-3,Prefer not to answer,12,12,0.001866252,0.001866252
28039,Number of 12-18 year olds in main home,6430,6430,0,0,5906,5906,0.918506998,0.918506998
28039,Number of 12-18 year olds in main home,6430,6430,1,1,360,360,0.055987558,0.055987558
28039,Number of 12-18 year olds in main home,6430,6430,2,2,138,138,0.021461897,0.021461897
28039,Number of 12-18 year olds in main home,6430,6430,3,3,12,12,0.001866252,0.001866252
28040,Number of 19-29 year olds in main home,6430,6430,-3,Prefer not to answer,12,12,0.001866252,0.001866252
