question_id,question,answer_id,answer,q_ev.vaccinated,q_pt.vaccinated,a_ev.vaccinated,a_pt.vaccinated,ev_prop.vaccinated,pt_prop.vaccinated,q_ev.unvaccinated,q_pt.unvaccinated,a_ev.unvaccinated,a_pt.unvaccinated,ev_prop.unvaccinated,pt_prop.unvaccinated,ev_proportion_difference,pt_proportion_difference,lower_CI_ev,upper_CI_ev,lower_CI_pt,upper_CI_pt,p_value_ev,p_value_pt
28034,Description of main home,2,An apartment or flat with no outside space,8607,8607,420,420,0.04879749,0.04879749,399,399,21,21,0.052631579,0.052631579,-0.003834089,-0.003834089,-0.005639158,-0.002029019,-0.005639158,-0.002029019,8.25E-04,8.25E-04
28034,Description of main home,4,A mobile home or caravan,8607,8607,20,20,0.00232369,0.00232369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28034,Description of main home,-3,Prefer not to answer,8607,8607,7,7,8.13E-04,8.13E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28034,Description of main home,3,An apartment or flat with outside space,8607,8607,857,857,0.099570117,0.099570117,399,399,41,41,0.102756892,0.102756892,-0.003186775,-0.003186775,-0.004832964,-0.001540586,-0.004832964,-0.001540586,3.37E-04,3.37E-04
28034,Description of main home,1,A house or bungalow,8607,8607,7288,7288,0.846752643,0.846752643,399,399,332,332,0.832080201,0.832080201,0.014672443,0.014672443,0.011160571,0.018184314,0.011160571,0.018184314,1.83E-04,1.83E-04
28035,Number of separate rooms in main home,5,5,8605,8605,1818,1818,0.211272516,0.211272516,397,397,97,97,0.244332494,0.244332494,-0.033059978,-0.033059978,-0.038283274,-0.027836682,-0.038283274,-0.027836682,0.001637127,0.001637127
28035,Number of separate rooms in main home,-3,Prefer not to answer,8605,8605,8,8,0.00093,0.00093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28035,Number of separate rooms in main home,6,7-Jun,8605,8605,3123,3123,0.36292853,0.36292853,397,397,130,130,0.327455919,0.327455919,0.035472611,0.035472611,0.030068833,0.040876388,0.030068833,0.040876388,0.001034404,0.001034404
28035,Number of separate rooms in main home,7,10-Aug,8605,8605,1319,1319,0.153282975,0.153282975,397,397,58,58,0.146095718,0.146095718,0.007187257,0.007187257,0.004719463,0.009655051,0.004719463,0.009655051,4.95E-04,4.95E-04
28035,Number of separate rooms in main home,8,15-Nov,8605,8605,118,118,0.013712958,0.013712958,397,397,6,6,0.01511335,0.01511335,-0.001400393,-0.001400393,-0.002492874,-3.08E-04,-0.002492874,-3.08E-04,0.00107128,0.00107128
28035,Number of separate rooms in main home,3,3,8605,8605,698,698,0.08111563,0.08111563,397,397,36,36,0.090680101,0.090680101,-0.00956447,-0.00956447,-0.012407865,-0.006721076,-0.012407865,-0.006721076,0.001235971,0.001235971
28035,Number of separate rooms in main home,2,2,8605,8605,234,234,0.027193492,0.027193492,397,397,11,11,0.027707809,0.027707809,-5.14E-04,-5.14E-04,-0.001176681,1.48E-04,-0.001176681,1.48E-04,1.99E-04,1.99E-04
28035,Number of separate rooms in main home,4,4,8605,8605,1227,1227,0.142591517,0.142591517,397,397,54,54,0.136020151,0.136020151,0.006571365,0.006571365,0.004210943,0.008931788,0.004210943,0.008931788,4.87E-04,4.87E-04
28036,Lives with others in main home,0,No,8605,8605,2163,2163,0.251365485,0.251365485,397,397,98,98,0.246851385,0.246851385,0.0045141,0.0045141,0.002555721,0.006472479,0.002555721,0.006472479,1.89E-04,1.89E-04
28036,Lives with others in main home,1,Yes,8605,8605,6430,6430,0.747239977,0.747239977,397,397,298,298,0.750629723,0.750629723,-0.003389746,-0.003389746,-0.005087755,-0.001691738,-0.005087755,-0.001691738,4.78E-05,4.78E-05
28037,Number of 0-4 year olds in main home,5,5,6430,6430,5,5,7.78E-04,7.78E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28037,Number of 0-4 year olds in main home,4,4,6430,6430,7,7,0.001088647,0.001088647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28037,Number of 0-4 year olds in main home,0,0,6430,6430,6171,6171,0.959720062,0.959720062,298,298,286,286,0.959731544,0.959731544,-1.15E-05,-1.15E-05,-1.26E-04,1.03E-04,-1.26E-04,1.03E-04,1.46E-07,1.46E-07
28038,Number of 5-11 year olds in main home,0,0,6430,6430,6225,6225,0.968118196,0.968118196,298,298,283,283,0.94966443,0.94966443,0.018453766,0.018453766,0.013905792,0.023001741,0.013905792,0.023001741,2.33E-04,2.33E-04
28038,Number of 5-11 year olds in main home,1,1,6430,6430,149,149,0.023172628,0.023172628,298,298,12,12,0.040268456,0.040268456,-0.017095828,-0.017095828,-0.021476299,-0.012715358,-0.021476299,-0.012715358,0.008617191,0.008617191
28038,Number of 5-11 year olds in main home,-3,Prefer not to answer,6430,6430,13,13,0.002021773,0.002021773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28039,Number of 12-18 year olds in main home,2,2,6430,6430,138,138,0.021461897,0.021461897,298,298,14,14,0.046979866,0.046979866,-0.025517968,-0.025517968,-0.030846776,-0.020189161,-0.030846776,-0.020189161,0.013412947,0.013412947
28039,Number of 12-18 year olds in main home,-3,Prefer not to answer,6430,6430,12,12,0.001866252,0.001866252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28039,Number of 12-18 year olds in main home,0,0,6430,6430,5906,5906,0.918506998,0.918506998,298,298,248,248,0.832214765,0.832214765,0.086292233,0.086292233,0.07680347,0.095780997,0.07680347,0.095780997,0.001149941,0.001149941
28039,Number of 12-18 year olds in main home,1,1,6430,6430,360,360,0.055987558,0.055987558,298,298,35,35,0.117449664,0.117449664,-0.061462106,-0.061462106,-0.06957825,-0.053345963,-0.06957825,-0.053345963,0.012476881,0.012476881
28040,Number of 19-29 year olds in main home,-3,Prefer not to answer,6430,6430,12,12,0.001866252,0.001866252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28040,Number of 19-29 year olds in main home,3,3,6430,6430,43,43,0.006687403,0.006687403,298,298,7,7,0.023489933,0.023489933,-0.01680253,-0.01680253,-0.02114591,-0.01245915,-0.02114591,-0.01245915,0.024992592,0.024992592
28040,Number of 19-29 year olds in main home,2,2,6430,6430,315,315,0.048989114,0.048989114,298,298,33,33,0.110738255,0.110738255,-0.061749142,-0.061749142,-0.069882971,-0.053615312,-0.069882971,-0.053615312,0.014134297,0.014134297
28040,Number of 19-29 year olds in main home,0,0,6430,6430,5331,5331,0.829082426,0.829082426,298,298,204,204,0.684563758,0.684563758,0.144518668,0.144518668,0.132636728,0.156400607,0.132636728,0.156400607,0.002140257,0.002140257
28040,Number of 19-29 year olds in main home,1,1,6430,6430,716,716,0.111353033,0.111353033,298,298,52,52,0.174496644,0.174496644,-0.063143612,-0.063143612,-0.071362656,-0.054924567,-0.071362656,-0.054924567,0.006700645,0.006700645
28041,Number of 30-39 year olds in main home,0,0,6430,6430,5866,5866,0.912286159,0.912286159,298,298,270,270,0.906040268,0.906040268,0.00624589,0.00624589,0.003583592,0.008908189,0.003583592,0.008908189,8.35E-05,8.35E-05
28041,Number of 30-39 year olds in main home,3,3,6430,6430,15,15,0.002332815,0.002332815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28041,Number of 30-39 year olds in main home,1,1,6430,6430,431,431,0.067029549,0.067029549,298,298,23,23,0.077181208,0.077181208,-0.010151659,-0.010151659,-0.013539109,-0.006764209,-0.013539109,-0.006764209,0.001833227,0.001833227
28041,Number of 30-39 year olds in main home,-3,Prefer not to answer,6430,6430,15,15,0.002332815,0.002332815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28041,Number of 30-39 year olds in main home,2,2,6430,6430,95,95,0.014774495,0.014774495,298,298,5,5,0.016778523,0.016778523,-0.002004029,-0.002004029,-0.00351528,-4.93E-04,-0.00351528,-4.93E-04,0.00164316,0.00164316
28042,Number of 40-49 year olds in main home,0,0,6430,6430,5906,5906,0.918506998,0.918506998,298,298,246,246,0.825503356,0.825503356,0.093003643,0.093003643,0.083189037,0.102818248,0.083189037,0.102818248,0.001239743,0.001239743
28042,Number of 40-49 year olds in main home,1,1,6430,6430,477,477,0.074183515,0.074183515,298,298,49,49,0.16442953,0.16442953,-0.090246015,-0.090246015,-0.099928707,-0.080563324,-0.099928707,-0.080563324,0.013692105,0.013692105
28042,Number of 40-49 year olds in main home,-3,Prefer not to answer,6430,6430,14,14,0.002177294,0.002177294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
