question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28010,Method of returning questionnaire results,1911,338,1,Website,23,19,0.012035583,0.056213018
28010,Method of returning questionnaire results,1911,338,2,Post,1888,338,0.987964417,1
28011,COVID-19 symptoms: Fever 38 degrees C or greater,1911,338,0,No,1813,337,0.948717949,0.99704142
28011,COVID-19 symptoms: Fever 38 degrees C or greater,1911,338,1,Yes,98,87,0.051282051,0.25739645
28012,COVID-19 symptoms: Wheezing,1911,338,1,Yes,82,57,0.042909471,0.168639053
28012,COVID-19 symptoms: Wheezing,1911,338,0,No,1829,337,0.957090529,0.99704142
28013,COVID-19 symptoms: Chills,1911,338,0,No,1798,336,0.940868655,0.99408284
28013,COVID-19 symptoms: Chills,1911,338,1,Yes,113,93,0.059131345,0.275147929
28014,COVID-19 symptoms: Chest pain,1911,338,0,No,1829,337,0.957090529,0.99704142
28014,COVID-19 symptoms: Chest pain,1911,338,1,Yes,82,55,0.042909471,0.162721893
28015,COVID-19 symptoms: Feeling more tired than usual,1911,338,0,No,1568,328,0.820512821,0.970414201
28015,COVID-19 symptoms: Feeling more tired than usual,1911,338,1,Yes,343,179,0.179487179,0.529585799
28016,COVID-19 symptoms: Headache,1911,338,0,No,1614,329,0.844583987,0.973372781
28016,COVID-19 symptoms: Headache,1911,338,1,Yes,297,150,0.155416013,0.443786982
28017,COVID-19 symptoms: Muscle ache,1911,338,0,No,1661,332,0.869178441,0.982248521
28017,COVID-19 symptoms: Muscle ache,1911,338,1,Yes,250,150,0.130821559,0.443786982
28018,COVID-19 symptoms: Nausea/vomiting,1911,338,0,No,1836,336,0.960753532,0.99408284
28018,COVID-19 symptoms: Nausea/vomiting,1911,338,1,Yes,75,57,0.039246468,0.168639053
28019,COVID-19 symptoms: Sore throat,1911,338,0,No,1708,335,0.893772894,0.99112426
28019,COVID-19 symptoms: Sore throat,1911,338,1,Yes,203,133,0.106227106,0.393491124
28020,COVID-19 symptoms: Abdominal pain,1911,338,1,Yes,100,67,0.052328624,0.198224852
28020,COVID-19 symptoms: Abdominal pain,1911,338,0,No,1811,336,0.947671376,0.99408284
28021,COVID-19 symptoms: Persistent dry cough,1911,338,0,No,1793,337,0.938252224,0.99704142
28021,COVID-19 symptoms: Persistent dry cough,1911,338,1,Yes,118,96,0.061747776,0.284023669
28022,COVID-19 symptoms: Diarrhoea,1911,338,0,No,1776,337,0.929356358,0.99704142
28022,COVID-19 symptoms: Diarrhoea,1911,338,1,Yes,135,91,0.070643642,0.269230769
28023,COVID-19 symptoms: Runny nose,1911,338,0,No,1672,329,0.874934589,0.973372781
28023,COVID-19 symptoms: Runny nose,1911,338,1,Yes,239,139,0.125065411,0.411242604
28024,COVID-19 symptoms: Loss of sense of small and taste,1911,338,1,Yes,110,78,0.057561486,0.230769231
28024,COVID-19 symptoms: Loss of sense of small and taste,1911,338,0,No,1801,335,0.942438514,0.99112426
28025,COVID-19 symptoms: Shortness of breath,1911,338,0,No,1748,333,0.914704343,0.985207101
28025,COVID-19 symptoms: Shortness of breath,1911,338,1,Yes,163,94,0.085295657,0.278106509
28026,COVID-19 symptoms: Productive long-term cough ('wet' or chesty),1911,338,1,Yes,94,62,0.049188906,0.183431953
