question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28010,Method of returning questionnaire results,60653,10878,1,Website,860,663,0.014179018,0.060948704
28010,Method of returning questionnaire results,60653,10878,2,Post,59793,10878,0.985820982,1
28011,COVID-19 symptoms: Fever 38 degrees C or greater,60653,10878,0,No,59586,10849,0.982408125,0.997334069
28011,COVID-19 symptoms: Fever 38 degrees C or greater,60653,10878,1,Yes,1067,957,0.017591875,0.087975731
28012,COVID-19 symptoms: Wheezing,60653,10878,0,No,59314,10842,0.977923598,0.996690568
28012,COVID-19 symptoms: Wheezing,60653,10878,1,Yes,1339,878,0.022076402,0.080713366
28013,COVID-19 symptoms: Chills,60653,10878,0,No,59165,10847,0.975467001,0.997150211
28013,COVID-19 symptoms: Chills,60653,10878,1,Yes,1488,1247,0.024532999,0.114635043
28014,COVID-19 symptoms: Chest pain,60653,10878,0,No,59540,10849,0.981649712,0.997334069
28014,COVID-19 symptoms: Chest pain,60653,10878,1,Yes,1113,766,0.018350288,0.070417356
28015,COVID-19 symptoms: Feeling more tired than usual,60653,10878,0,No,54539,10704,0.899197072,0.984004413
28015,COVID-19 symptoms: Feeling more tired than usual,60653,10878,1,Yes,6114,3627,0.100802928,0.333425262
28016,COVID-19 symptoms: Headache,60653,10878,0,No,54496,10712,0.898488121,0.984739842
28016,COVID-19 symptoms: Headache,60653,10878,1,Yes,6157,3370,0.101511879,0.309799596
28017,COVID-19 symptoms: Muscle ache,60653,10878,0,No,56526,10756,0.931957199,0.988784703
28017,COVID-19 symptoms: Muscle ache,60653,10878,1,Yes,4127,2496,0.068042801,0.229453944
28018,COVID-19 symptoms: Nausea/vomiting,60653,10878,0,No,59482,10860,0.980693453,0.998345284
28018,COVID-19 symptoms: Nausea/vomiting,60653,10878,1,Yes,1171,888,0.019306547,0.081632653
28019,COVID-19 symptoms: Sore throat,60653,10878,0,No,55923,10782,0.922015399,0.991174848
28019,COVID-19 symptoms: Sore throat,60653,10878,1,Yes,4730,3086,0.077984601,0.283691855
28020,COVID-19 symptoms: Abdominal pain,60653,10878,0,No,58983,10846,0.972466325,0.997058283
28020,COVID-19 symptoms: Abdominal pain,60653,10878,1,Yes,1670,1150,0.027533675,0.105717963
28021,COVID-19 symptoms: Persistent dry cough,60653,10878,0,No,58613,10830,0.966366049,0.995587424
28021,COVID-19 symptoms: Persistent dry cough,60653,10878,1,Yes,2040,1605,0.033633951,0.147545505
28022,COVID-19 symptoms: Diarrhoea,60653,10878,0,No,57832,10814,0.953489522,0.994116566
28022,COVID-19 symptoms: Diarrhoea,60653,10878,1,Yes,2821,1863,0.046510478,0.1712631
28023,COVID-19 symptoms: Runny nose,60653,10878,0,No,55301,10738,0.911760342,0.987129987
28023,COVID-19 symptoms: Runny nose,60653,10878,1,Yes,5352,3147,0.088239658,0.289299504
28024,COVID-19 symptoms: Loss of sense of small and taste,60653,10878,0,No,59538,10832,0.981616738,0.995771281
28024,COVID-19 symptoms: Loss of sense of small and taste,60653,10878,1,Yes,1115,768,0.018383262,0.070601213
28025,COVID-19 symptoms: Shortness of breath,60653,10878,0,No,58046,10794,0.95701779,0.992277992
28025,COVID-19 symptoms: Shortness of breath,60653,10878,1,Yes,2607,1544,0.04298221,0.141937856
28026,COVID-19 symptoms: Productive long-term cough ('wet' or chesty),60653,10878,0,No,58946,10827,0.971856297,0.995311638
28026,COVID-19 symptoms: Productive long-term cough ('wet' or chesty),60653,10878,1,Yes,1707,1100,0.028143703,0.10112153
28027,COVID-19 symptoms requiring medical attention,60653,10878,0,No,58606,10843,0.966250639,0.996782497
28027,COVID-19 symptoms requiring medical attention,60653,10878,1,Yes,2047,1567,0.033749361,0.144052215
28028,COVID-19 symptoms requiring self-isolation,60653,10878,0,No,59264,10844,0.977099237,0.996874425
28028,COVID-19 symptoms requiring self-isolation,60653,10878,1,Yes,1389,1182,0.022900763,0.10865968
28029,COVID-19 symptoms requiring hospitalisation,60653,10878,0,No,60528,10876,0.997939096,0.999816143
28029,COVID-19 symptoms requiring hospitalisation,60653,10878,1,Yes,125,111,0.002060904,0.010204082
28030,Self-reported date symptoms first experienced,9366,5460,1/1/1999,NA,22,22,0.002348922,0.004029304
28030,Self-reported date symptoms first experienced,9366,5460,11/15/2019,NA,8,8,8.54E-04,0.001465201
28030,Self-reported date symptoms first experienced,9366,5460,12/1/2019,NA,65,61,0.006939996,0.011172161
28030,Self-reported date symptoms first experienced,9366,5460,12/3/2019,NA,11,11,0.001174461,0.002014652
28030,Self-reported date symptoms first experienced,9366,5460,12/5/2019,NA,12,11,0.00128123,0.002014652
28030,Self-reported date symptoms first experienced,9366,5460,12/7/2019,NA,7,7,7.47E-04,0.001282051
28030,Self-reported date symptoms first experienced,9366,5460,12/8/2019,NA,5,5,5.34E-04,9.16E-04
28030,Self-reported date symptoms first experienced,9366,5460,12/9/2019,NA,6,6,6.41E-04,0.001098901
28030,Self-reported date symptoms first experienced,9366,5460,12/10/2019,NA,13,13,0.001387999,0.002380952
28030,Self-reported date symptoms first experienced,9366,5460,12/12/2019,NA,12,10,0.00128123,0.001831502
28030,Self-reported date symptoms first experienced,9366,5460,12/13/2019,NA,7,7,7.47E-04,0.001282051
28030,Self-reported date symptoms first experienced,9366,5460,12/14/2019,NA,10,9,0.001067692,0.001648352
28030,Self-reported date symptoms first experienced,9366,5460,12/15/2019,NA,127,117,0.013559684,0.021428571
28030,Self-reported date symptoms first experienced,9366,5460,12/16/2019,NA,8,8,8.54E-04,0.001465201
28030,Self-reported date symptoms first experienced,9366,5460,12/17/2019,NA,7,6,7.47E-04,0.001098901
28030,Self-reported date symptoms first experienced,9366,5460,12/18/2019,NA,7,7,7.47E-04,0.001282051
28030,Self-reported date symptoms first experienced,9366,5460,12/19/2019,NA,6,6,6.41E-04,0.001098901
28030,Self-reported date symptoms first experienced,9366,5460,12/20/2019,NA,26,25,0.002775998,0.004578755
28030,Self-reported date symptoms first experienced,9366,5460,12/21/2019,NA,8,7,8.54E-04,0.001282051
28030,Self-reported date symptoms first experienced,9366,5460,12/22/2019,NA,8,8,8.54E-04,0.001465201
28030,Self-reported date symptoms first experienced,9366,5460,12/23/2019,NA,14,13,0.001494768,0.002380952
28030,Self-reported date symptoms first experienced,9366,5460,12/24/2019,NA,16,16,0.001708307,0.002930403
28030,Self-reported date symptoms first experienced,9366,5460,12/25/2019,NA,25,24,0.002669229,0.004395604
28030,Self-reported date symptoms first experienced,9366,5460,12/26/2019,NA,22,18,0.002348922,0.003296703
28030,Self-reported date symptoms first experienced,9366,5460,12/27/2019,NA,12,12,0.00128123,0.002197802
