question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28010,Method of returning questionnaire results,58742,10540,1,Website,837,644,0.014248749,0.061100569
28010,Method of returning questionnaire results,58742,10540,2,Post,57905,10540,0.985751251,1
28011,COVID-19 symptoms: Fever 38 degrees C or greater,58742,10540,1,Yes,969,870,0.016495863,0.082542694
28011,COVID-19 symptoms: Fever 38 degrees C or greater,58742,10540,0,No,57773,10512,0.983504137,0.997343454
28012,COVID-19 symptoms: Wheezing,58742,10540,0,No,57485,10505,0.978601341,0.996679317
28012,COVID-19 symptoms: Wheezing,58742,10540,1,Yes,1257,821,0.021398659,0.077893738
28013,COVID-19 symptoms: Chills,58742,10540,0,No,57367,10511,0.976592557,0.997248577
28013,COVID-19 symptoms: Chills,58742,10540,1,Yes,1375,1154,0.023407443,0.109487666
28014,COVID-19 symptoms: Chest pain,58742,10540,0,No,57711,10512,0.982448674,0.997343454
28014,COVID-19 symptoms: Chest pain,58742,10540,1,Yes,1031,711,0.017551326,0.067457306
28015,COVID-19 symptoms: Feeling more tired than usual,58742,10540,0,No,52971,10376,0.901756835,0.984440228
28015,COVID-19 symptoms: Feeling more tired than usual,58742,10540,1,Yes,5771,3448,0.098243165,0.327134725
28016,COVID-19 symptoms: Headache,58742,10540,0,No,52882,10383,0.900241735,0.985104364
28016,COVID-19 symptoms: Headache,58742,10540,1,Yes,5860,3220,0.099758265,0.305502846
28017,COVID-19 symptoms: Muscle ache,58742,10540,0,No,54865,10424,0.933999523,0.988994307
28017,COVID-19 symptoms: Muscle ache,58742,10540,1,Yes,3877,2346,0.066000477,0.222580645
28018,COVID-19 symptoms: Nausea/vomiting,58742,10540,0,No,57646,10524,0.98134214,0.998481973
28018,COVID-19 symptoms: Nausea/vomiting,58742,10540,1,Yes,1096,831,0.01865786,0.078842505
28019,COVID-19 symptoms: Sore throat,58742,10540,0,No,54215,10447,0.922934187,0.991176471
28019,COVID-19 symptoms: Sore throat,58742,10540,1,Yes,4527,2953,0.077065813,0.280170778
28020,COVID-19 symptoms: Abdominal pain,58742,10540,0,No,57172,10510,0.973272956,0.9971537
28020,COVID-19 symptoms: Abdominal pain,58742,10540,1,Yes,1570,1083,0.026727044,0.102751423
28021,COVID-19 symptoms: Persistent dry cough,58742,10540,0,No,56820,10493,0.967280651,0.995540797
28021,COVID-19 symptoms: Persistent dry cough,58742,10540,1,Yes,1922,1509,0.032719349,0.14316888
28022,COVID-19 symptoms: Diarrhoea,58742,10540,0,No,56056,10477,0.954274625,0.99402277
28022,COVID-19 symptoms: Diarrhoea,58742,10540,1,Yes,2686,1772,0.045725375,0.168121442
28023,COVID-19 symptoms: Runny nose,58742,10540,1,Yes,5113,3008,0.08704164,0.285388994
28023,COVID-19 symptoms: Runny nose,58742,10540,0,No,53629,10409,0.91295836,0.987571157
28024,COVID-19 symptoms: Loss of sense of small and taste,58742,10540,0,No,57737,10497,0.982891287,0.995920304
28024,COVID-19 symptoms: Loss of sense of small and taste,58742,10540,1,Yes,1005,690,0.017108713,0.065464896
28025,COVID-19 symptoms: Shortness of breath,58742,10540,0,No,56298,10461,0.958394335,0.992504744
28025,COVID-19 symptoms: Shortness of breath,58742,10540,1,Yes,2444,1450,0.041605665,0.137571157
28026,COVID-19 symptoms: Productive long-term cough ('wet' or chesty),58742,10540,0,No,57129,10490,0.972540942,0.995256167
28026,COVID-19 symptoms: Productive long-term cough ('wet' or chesty),58742,10540,1,Yes,1613,1038,0.027459058,0.098481973
28027,COVID-19 symptoms requiring medical attention,58742,10540,0,No,56900,10505,0.968642539,0.996679317
28027,COVID-19 symptoms requiring medical attention,58742,10540,1,Yes,1842,1438,0.031357461,0.136432638
28028,COVID-19 symptoms requiring self-isolation,58742,10540,0,No,57512,10507,0.979060979,0.99686907
28028,COVID-19 symptoms requiring self-isolation,58742,10540,1,Yes,1230,1051,0.020939021,0.09971537
