question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28010,Method of returning questionnaire results,2378,416,2,Post,2356,416,0.990748528,1
28010,Method of returning questionnaire results,2378,416,1,Website,22,17,0.009251472,0.040865385
28011,COVID-19 symptoms: Fever 38 degrees C or greater,2378,416,0,No,2318,416,0.974768713,1
28011,COVID-19 symptoms: Fever 38 degrees C or greater,2378,416,1,Yes,60,52,0.025231287,0.125
28012,COVID-19 symptoms: Wheezing,2378,416,0,No,2311,416,0.971825063,1
28012,COVID-19 symptoms: Wheezing,2378,416,1,Yes,67,38,0.028174937,0.091346154
28013,COVID-19 symptoms: Chills,2378,416,0,No,2297,414,0.965937763,0.995192308
28013,COVID-19 symptoms: Chills,2378,416,1,Yes,81,68,0.034062237,0.163461538
28014,COVID-19 symptoms: Chest pain,2378,416,0,No,2312,415,0.972245585,0.997596154
28014,COVID-19 symptoms: Chest pain,2378,416,1,Yes,66,43,0.027754415,0.103365385
28015,COVID-19 symptoms: Feeling more tired than usual,2378,416,0,No,2091,409,0.879310345,0.983173077
28015,COVID-19 symptoms: Feeling more tired than usual,2378,416,1,Yes,287,166,0.120689655,0.399038462
28016,COVID-19 symptoms: Headache,2378,416,1,Yes,296,156,0.124474348,0.375
28016,COVID-19 symptoms: Headache,2378,416,0,No,2082,409,0.875525652,0.983173077
28017,COVID-19 symptoms: Muscle ache,2378,416,0,No,2189,412,0.920521447,0.990384615
28017,COVID-19 symptoms: Muscle ache,2378,416,1,Yes,189,114,0.079478553,0.274038462
28018,COVID-19 symptoms: Nausea/vomiting,2378,416,0,No,2326,416,0.978132885,1
28018,COVID-19 symptoms: Nausea/vomiting,2378,416,1,Yes,52,35,0.021867115,0.084134615
28019,COVID-19 symptoms: Sore throat,2378,416,1,Yes,221,148,0.09293524,0.355769231
28019,COVID-19 symptoms: Sore throat,2378,416,0,No,2157,413,0.90706476,0.992788462
28020,COVID-19 symptoms: Abdominal pain,2378,416,0,No,2306,415,0.969722456,0.997596154
28020,COVID-19 symptoms: Abdominal pain,2378,416,1,Yes,72,50,0.030277544,0.120192308
28021,COVID-19 symptoms: Persistent dry cough,2378,416,1,Yes,93,83,0.039108495,0.199519231
28021,COVID-19 symptoms: Persistent dry cough,2378,416,0,No,2285,416,0.960891505,1
28022,COVID-19 symptoms: Diarrhoea,2378,416,0,No,2249,414,0.945752733,0.995192308
28022,COVID-19 symptoms: Diarrhoea,2378,416,1,Yes,129,88,0.054247267,0.211538462
28023,COVID-19 symptoms: Runny nose,2378,416,1,Yes,215,131,0.090412111,0.314903846
28023,COVID-19 symptoms: Runny nose,2378,416,0,No,2163,412,0.909587889,0.990384615
28024,COVID-19 symptoms: Loss of sense of small and taste,2378,416,0,No,2323,414,0.97687132,0.995192308
28024,COVID-19 symptoms: Loss of sense of small and taste,2378,416,1,Yes,55,45,0.02312868,0.108173077
28025,COVID-19 symptoms: Shortness of breath,2378,416,1,Yes,102,61,0.042893188,0.146634615
28025,COVID-19 symptoms: Shortness of breath,2378,416,0,No,2276,415,0.957106812,0.997596154
28026,COVID-19 symptoms: Productive long-term cough ('wet' or chesty),2378,416,0,No,2323,416,0.97687132,1
28026,COVID-19 symptoms: Productive long-term cough ('wet' or chesty),2378,416,1,Yes,55,36,0.02312868,0.086538462
