question_id,question,q_ev,q_pt,answer_id,answer,a_ev,a_pt,ev_prop,pt_prop
28010,Method of returning questionnaire results,51607,9006,1,Website,789,605,0.015288624,0.067177437
28010,Method of returning questionnaire results,51607,9006,2,Post,50818,9006,0.984711376,1
28011,COVID-19 symptoms: Fever 38 degrees C or greater,51607,9006,0,No,50723,8992,0.982870541,0.998445481
28011,COVID-19 symptoms: Fever 38 degrees C or greater,51607,9006,1,Yes,884,796,0.017129459,0.088385521
28012,COVID-19 symptoms: Wheezing,51607,9006,0,No,50518,8986,0.978898211,0.997779258
28012,COVID-19 symptoms: Wheezing,51607,9006,1,Yes,1089,719,0.021101789,0.079835665
28013,COVID-19 symptoms: Chills,51607,9006,1,Yes,1219,1023,0.023620827,0.113590939
28013,COVID-19 symptoms: Chills,51607,9006,0,No,50388,8994,0.976379173,0.998667555
28014,COVID-19 symptoms: Chest pain,51607,9006,0,No,50701,8992,0.982444242,0.998445481
28014,COVID-19 symptoms: Chest pain,51607,9006,1,Yes,906,624,0.017555758,0.069287142
28015,COVID-19 symptoms: Feeling more tired than usual,51607,9006,1,Yes,5072,3003,0.098281241,0.33344437
28015,COVID-19 symptoms: Feeling more tired than usual,51607,9006,0,No,46535,8914,0.901718759,0.989784588
28016,COVID-19 symptoms: Headache,51607,9006,0,No,46432,8907,0.899722906,0.989007328
28016,COVID-19 symptoms: Headache,51607,9006,1,Yes,5175,2819,0.100277094,0.313013547
28017,COVID-19 symptoms: Muscle ache,51607,9006,1,Yes,3378,2050,0.065456237,0.227626027
28017,COVID-19 symptoms: Muscle ache,51607,9006,0,No,48229,8942,0.934543763,0.992893626
28018,COVID-19 symptoms: Nausea/vomiting,51607,9006,0,No,50645,9000,0.981359118,0.999333777
28018,COVID-19 symptoms: Nausea/vomiting,51607,9006,1,Yes,962,740,0.018640882,0.082167444
28019,COVID-19 symptoms: Sore throat,51607,9006,1,Yes,3976,2574,0.077043812,0.28580946
28019,COVID-19 symptoms: Sore throat,51607,9006,0,No,47631,8954,0.922956188,0.994226072
28020,COVID-19 symptoms: Abdominal pain,51607,9006,1,Yes,1392,949,0.026973085,0.105374195
28020,COVID-19 symptoms: Abdominal pain,51607,9006,0,No,50215,8994,0.973026915,0.998667555
28021,COVID-19 symptoms: Persistent dry cough,51607,9006,0,No,49930,8984,0.967504408,0.997557184
28021,COVID-19 symptoms: Persistent dry cough,51607,9006,1,Yes,1677,1333,0.032495592,0.148012436
28022,COVID-19 symptoms: Diarrhoea,51607,9006,0,No,49296,8977,0.955219253,0.996779924
28022,COVID-19 symptoms: Diarrhoea,51607,9006,1,Yes,2311,1546,0.044780747,0.171663336
28023,COVID-19 symptoms: Runny nose,51607,9006,0,No,47040,8921,0.911504253,0.990561848
28023,COVID-19 symptoms: Runny nose,51607,9006,1,Yes,4567,2679,0.088495747,0.297468354
