pt_cnt,EL_MAX_ELGBLTY_CD_LTST,STATE_CD
XX,24,NJ
XX,24,WI
XX,41,ND
XX,51,AR
XX,54,OK
XX,00,TN
XX,25,HI
XX,00,NY
XX,16,WV
XX,17,NY
XX,54,ME
XX,16,NY
XX,51,MD
XX,11,NH
XX,54,TX
XX,25,MT
XX,17,WI
XX,00,WV
XX,52,MD
XX,52,OK
XX,3A,DC
13,99,SD
14,24,WV
14,41,NE
16,14,WV
17,25,RI
19,99,RI
21,44,MS
22,3A,HI
29,41,CO
31,41,KS
33,00,HI
37,25,GA
40,25,KS
41,14,NH
42,12,NH
49,3A,DE
50,3A,ND
51,24,AR
53,51,MS
54,54,DE
59,16,NE
60,3A,VT
68,15,NH
76,24,KS
77,16,WI
84,25,VA
94,54,NY
95,54,AZ
95,54,GA
107,16,VA
115,00,SC
115,44,ID
120,54,ID
122,3A,SD
133,99,DC
135,42,HI
135,99,MN
137,52,TN
139,24,VA
142,00,NH
147,99,MT
155,3A,AK
156,00,DC
184,35,DC
186,41,HI
186,41,NC
190,25,WA
191,3A,NE
196,3A,NV
200,99,MS
202,3A,WY
207,54,HI
209,3A,MT
217,21,AR
229,25,TX
230,3A,ME
236,3A,MS
279,32,AK
284,24,LA
291,3A,IA
300,3A,ID
342,25,ME
348,24,GA
351,3A,KS
357,3A,NH
362,3A,UT
362,54,PA
362,99,WY
367,31,AK
368,21,TN
371,3A,NM
381,24,ME
391,51,DE
399,00,CT
404,35,DE
414,55,ID
423,3A,MA
430,3A,MN
437,24,NE
443,3A,CT
454,42,NC
457,24,WA
460,00,RI
479,3A,AZ
483,3A,MD
486,42,NE
520,22,IA
521,21,IA
521,45,AL
542,54,MS
558,44,IL
575,22,HI
575,3A,KY
577,45,MS
588,3A,NC
607,42,ND
623,99,MD
636,3A,WV
644,25,CT
647,3A,CO
688,44,DC
692,99,UT
709,51,MA
719,24,IA
721,99,VT
737,3A,NJ
753,99,IN
772,22,ME
782,3A,FL
784,99,SC
809,24,ND
813,99,NE
817,52,MT
823,21,KY
828,00,MN
830,35,ND
843,22,NJ
848,99,AK
858,32,VT
866,00,AK
867,11,WY
882,3A,WI
883,3A,OH
910,99,MO
923,3A,IN
927,22,TN
966,99,IA
975,55,WY
978,3A,OR
989,22,MT
993,45,OK
996,3A,AL
1030,3A,VA
1036,21,MT
1059,42,CO
1069,3A,AR
1072,99,NH
1083,31,VT
1117,25,CO
1132,41,AK
1135,21,KS
1140,22,RI
1199,3A,OK
1210,54,VT
1281,3A,SC
1287,99,DE
1289,3A,WA
1307,3A,LA
1348,35,RI
1399,11,NE
1402,15,NE
1445,99,OH
1453,24,CT
1460,44,AR
1479,11,ND
1510,22,WI
1511,17,AK
1540,32,ND
1552,21,LA
1583,00,MD
1594,3A,MI
1607,3A,NY
1613,41,DC
1620,21,NH
1651,24,NH
1652,99,KS
1704,24,MD
1708,22,AR
1711,99,CT
1742,11,SD
1760,44,OK
1806,3A,MO
1810,54,MD
