pt_cnt,STATE_CD,yoao
XX,AL,116
XX,CA,
XX,CA,166
XX,AL,111
XX,CA,113
XX,CA,120
XX,CA,122
XX,CA,124
XX,AL,110
XX,AL,113
XX,AL,115
XX,CA,114
XX,CA,118
XX,CA,112
XX,CA,116
XX,AL,109
XX,CA,111
XX,CA,115
XX,AL,106
16,AL,
16,AL,107
17,AL,-3
22,CA,109
22,CA,110
25,AL,105
35,CA,108
36,AL,104
52,CA,107
66,AL,103
110,CA,106
111,AL,102
113,AL,101
179,AL,-2
179,AL,100
204,CA,105
259,AL,99
324,CA,104
356,AL,98
428,CA,103
501,AL,97
595,AL,96
735,CA,102
821,AL,95
972,CA,101
977,AL,94
1129,AL,93
1363,AL,92
1376,CA,100
1566,AL,91
1906,AL,90
2031,CA,99
2164,AL,89
2250,AL,88
2495,AL,87
2714,AL,86
2750,AL,85
2839,CA,98
3088,AL,84
3155,AL,83
3732,AL,82
3832,CA,97
3852,AL,80
3896,AL,79
3937,AL,81
4152,AL,77
4191,AL,78
4383,AL,76
4573,AL,75
5215,AL,74
5395,AL,73
5404,AL,72
5570,AL,71
5590,CA,96
6300,AL,70
6366,AL,48
6388,AL,64
6398,AL,47
6456,AL,49
6776,CA,95
6812,AL,50
6839,AL,63
6882,AL,44
6953,AL,43
6955,AL,69
6970,AL,46
7113,AL,68
7129,AL,45
7191,AL,42
7234,AL,51
7282,AL,66
7351,AL,67
7499,AL,41
7500,AL,62
7606,AL,65
7806,AL,53
7857,AL,52
7887,AL,61
8026,AL,40
8119,AL,54
8462,AL,55
8557,AL,56
8628,AL,60
8696,AL,58
8704,AL,59
8722,AL,57
8761,CA,94
8842,AL,39
9203,AL,38
10215,AL,37
10885,AL,35
10896,AL,36
11002,CA,93
11379,AL,34
11595,AL,33
11597,AL,-1
12505,AL,32
12713,CA,92
12883,AL,31
13057,AL,20
13681,AL,30
14061,AL,29
14544,AL,21
15145,CA,91
15188,AL,28
15381,AL,22
15991,AL,27
16198,AL,23
16666,AL,25
16746,AL,24
16925,AL,26
17199,CA,90
19569,CA,89
21967,CA,88
24762,CA,87
28831,CA,85
29258,CA,86
32151,CA,84
33304,AL,19
33774,CA,83
35459,AL,18
36330,AL,17
36948,CA,82
37444,AL,14
37559,AL,15
38137,AL,13
38595,AL,16
39243,AL,12
40296,CA,81
40464,AL,11
42113,CA,80
43194,AL,10
44366,AL,6
44621,AL,5
45121,CA,79
45240,AL,4
45280,AL,7
45440,AL,9
45670,AL,3
45800,AL,8
47004,CA,78
48447,CA,77
48565,AL,2
49990,AL,0
51058,CA,75
51565,CA,76
55341,AL,1
55754,CA,74
56840,CA,73
59056,CA,72
61677,CA,71
67182,CA,70
74405,CA,69
74828,CA,68
84830,CA,67
94655,CA,66
104487,CA,65
112936,CA,64
118469,CA,63
122958,CA,43
124801,CA,62
124975,CA,42
125966,CA,44
127227,CA,41
127539,CA,61
129296,CA,45
130764,CA,60
132283,CA,40
132481,CA,49
133739,CA,48
133991,CA,50
135337,CA,47
135374,CA,58
135639,CA,59
136348,CA,46
137559,CA,39
138160,CA,51
138349,CA,57
141101,CA,55
141378,CA,56
141413,CA,52
142097,CA,38
143538,CA,54
144128,CA,53
151490,CA,37
161462,CA,36
169174,CA,35
176028,CA,34
181727,CA,33
190034,CA,32
201328,CA,0
203395,CA,31
216309,CA,30
235501,CA,29
250403,CA,1
257776,CA,28
260061,CA,25
260556,CA,24
261735,CA,23
262142,CA,17
263726,CA,22
264201,CA,15
266290,CA,16
266455,CA,14
269065,CA,21
270550,CA,27
270704,CA,20
271042,CA,18
272673,CA,13
275574,CA,2
278969,CA,19
279112,CA,26
280609,CA,12
282729,CA,3
289722,CA,11
292207,CA,4
292507,CA,5
295712,CA,6
302292,CA,7
306242,CA,10
313256,CA,8
315286,CA,9
