pt_cnt,ELGBLTY_GRP_CD_12,STATE_CD
XX,19,WY
XX,18,WY
33924,,WY
32378,7,WY
6877,1,WY
5920,11,WY
3060,6,WY
2666,39,WY
2281,23,WY
2147,29,WY
1920,5,WY
1708,42,WY
1675,52,WY
1287,2,WY
983,25,WY
719,8,WY
521,26,WY
360,48,WY
143,9,WY
118,43,WY
99,21,WY
69,34,WY
40,22,WY
36,70,WY
20,44,WY
16,20,WY
XX,4,WV
174547,72,WV
158297,7,WV
140833,,WV
78779,11,WV
30323,1,WV
22983,23,WV
20295,61,WV
12761,8,WV
12074,25,WV
11441,6,WV
6015,26,WV
5573,2,WV
5011,5,WV
4716,38,WV
2910,39,WV
2384,22,WV
832,59,WV
742,3,WV
667,12,WV
666,24,WV
624,60,WV
266,34,WV
130,18,WV
121,20,WV
68,9,WV
27,17,WV
16,56,WV
XX,14,WI
XX,24,WI
XX,19,WI
XX,54,WI
335227,7,WI
261685,,WI
261206,71,WI
148445,1,WI
116312,11,WI
47578,2,WI
42378,61,WI
37575,35,WI
37170,52,WI
30477,6,WI
30464,47,WI
18874,31,WI
18489,5,WI
15683,37,WI
13803,42,WI
12447,8,WI
9674,23,WI
6995,25,WI
5183,45,WI
3570,59,WI
3074,26,WI
2303,22,WI
1511,18,WI
1329,64,WI
1131,29,WI
1003,66,WI
827,9,WI
589,34,WI
240,21,WI
166,36,WI
92,28,WI
30,20,WI
14,4,WI
11,53,WI
XX,24,WA
XX,49,WA
XX,54,WA
XX,28,WA
1104397,,WA
473379,72,WA
357274,7,WA
91140,11,WA
45350,39,WA
43798,74,WA
18152,23,WA
15805,8,WA
8907,25,WA
8531,61,WA
6972,6,WA
4306,26,WA
2390,19,WA
2327,59,WA
2164,29,WA
2117,5,WA
2085,2,WA
1532,30,WA
1497,64,WA
1456,9,WA
1368,73,WA
1191,38,WA
1027,35,WA
1004,48,WA
495,18,WA
351,71,WA
242,34,WA
208,37,WA
36,1,WA
XX,18,VT
XX,24,VT
55029,31,VT
46914,12,VT
44063,,VT
27449,1,VT
8666,13,VT
8000,71,VT
6930,11,VT
3771,61,VT
3601,25,VT
3161,37,VT
2912,8,VT
2803,26,VT
2461,51,VT
1864,56,VT
1836,23,VT
1573,27,VT
1150,7,VT
1134,54,VT
1009,28,VT
801,21,VT
750,29,VT
270,59,VT
