"","DX","distinct_specialty_count","code_volume_percent","concept_name"
"1","A0101",1,1.38569756370524e-08,"Typhoid meningitis"
"2","A0104",1,3.2003015161764e-08,"Typhoid arthritis"
"3","A0105",1,6.26863183580944e-09,"Typhoid osteomyelitis"
"4","A0109",1,8.57812777531818e-09,"Typhoid fever with other complications"
"5","A011",1,4.38804228506661e-08,"Paratyphoid fever A"
"6","A014",1,9.89783974075174e-09,"Paratyphoid fever, unspecified"
"7","A0220",1,1.18774076889021e-08,"Localized salmonella infection, unspecified"
"8","A0222",1,1.08876237148269e-08,"Salmonella pneumonia"
"9","A033",1,1.41869036284108e-08,"Shigellosis due to Shigella sonnei"
"10","A052",1,1.3527047645694e-08,"Foodborne Clostridium perfringens [Clostridium welchii] intoxication"
"11","A053",1,7.25841580988461e-09,"Foodborne Vibrio parahaemolyticus intoxication"
"12","A063",1,7.588343801243e-09,"Ameboma of intestine"
"13","A0681",1,1.97956794815035e-08,"Amebic cystitis"
"14","A0682",1,6.26863183580944e-09,"Other amebic genitourinary infections"
"15","A1854",1,1.6826327559278e-08,"Tuberculous iridocyclitis"
"16","A187",1,1.31971196543357e-08,"Tuberculosis of adrenal glands"
"17","A190",1,5.11388386605507e-08,"Acute miliary tuberculosis of a single specified site"
"18","A201",1,1.18774076889021e-08,"Cellulocutaneous plague"
"19","A207",1,2.77139512741049e-08,"Septicemic plague"
"20","A259",1,8.24819978395979e-09,"Rat-bite fever, unspecified"
"21","A270",1,1.28671916629773e-08,"Leptospirosis icterohemorrhagica"
"22","A300",1,6.36761023321695e-08,"Indeterminate leprosy"
"23","A301",1,1.88058955074283e-08,"Tuberculoid leprosy"
"24","A304",1,1.48467596111276e-08,"Borderline lepromatous leprosy"
"25","A3289",1,8.24819978395979e-09,"Other forms of listeriosis"
"26","A3686",1,6.92848781852622e-09,"Diphtheritic conjunctivitis"
"27","A391",1,1.31971196543357e-08,"Waterhouse-Friderichsen syndrome"
"28","A394",1,1.71562555506364e-08,"Meningococcemia, unspecified"
"29","A441",1,1.25372636716189e-08,"Cutaneous and mucocutaneous bartonellosis"
"30","A482",1,1.31971196543357e-08,"Nonpneumonic Legionnaires' disease [Pontiac fever]"
"31","A5001",1,1.31971196543357e-08,"Early congenital syphilitic oculopathy"
"32","A501",1,1.08876237148269e-08,"Early congenital syphilis, latent"
"33","A5044",1,1.55066155938444e-08,"Late congenital syphilitic optic nerve atrophy"
"34","A5049",1,1.05576957234685e-08,"Other late congenital neurosyphilis"
"35","A5146",1,8.57812777531818e-09,"Secondary syphilitic osteopathy"
"36","A5276",1,7.588343801243e-09,"Other genitourinary symptomatic late syphilis"
"37","A541",1,1.48467596111276e-08,"Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess"
"38","A5421",1,3.00234472136136e-08,"Gonococcal infection of kidney and ureter"
"39","A5423",1,1.15474796975437e-08,"Gonococcal infection of other male genital organs"
"40","A5424",1,7.25841580988461e-09,"Gonococcal female pelvic inflammatory disease"
"41","A5429",1,6.59855982716783e-09,"Other gonococcal genitourinary infections"
"42","A5486",1,9.89783974075174e-09,"Gonococcal sepsis"
"43","A5611",1,7.25841580988461e-09,"Chlamydial female pelvic inflammatory disease"
"44","A661",1,2.4414671360521e-08,"Multiple papillomata and wet crab yaws"
"45","A669",1,5.54279025482098e-08,"Yaws, unspecified"
"46","A711",1,1.02277677321101e-08,"Active stage of trachoma"
"47","A811",1,7.91827179260139e-09,"Subacute sclerosing panencephalitis"
"48","A8182",1,8.90805576667657e-09,"Gerstmann-Straussler-Scheinker syndrome"
"49","A8183",1,4.94891987037587e-09,"Fatal familial insomnia"
"50","A929",1,7.91827179260139e-09,"Mosquito-borne viral fever, unspecified"
"51","A962",1,9.56791174939335e-09,"Lassa fever"
"52","A980",1,6.76352382284702e-08,"Crimean-Congo hemorrhagic fever"
"53","A981",1,8.24819978395979e-09,"Omsk hemorrhagic fever"
"54","A985",1,6.92848781852622e-09,"Hemorrhagic fever with renal syndrome"
"55","A988",1,1.5176687602486e-08,"Other specified viral hemorrhagic fevers"
"56","A99",1,1.58365435852028e-08,"Unspecified viral hemorrhagic fever"
"57","B053",1,4.61899187901748e-09,"Measles complicated by otitis media"
"58","B0589",1,1.88058955074283e-08,"Other measles complications"
"59","B0600",1,1.15474796975437e-08,"Rubella with neurological complication, unspecified"
"60","B08011",1,8.57812777531818e-09,"Vaccinia not from vaccine"
"61","B0861",1,5.60877585309265e-09,"Bovine stomatitis"
"62","B262",1,1.38569756370524e-08,"Mumps encephalitis"
"63","B2681",1,7.25841580988461e-09,"Mumps hepatitis"
"64","B2701",1,1.48467596111276e-08,"Gammaherpesviral mononucleosis with polyneuropathy"
"65","B331",1,1.71562555506364e-08,"Ross River disease"
"66","B3881",1,8.90805576667657e-09,"Prostatic coccidioidomycosis"
"67","B4089",1,1.28671916629773e-08,"Other forms of blastomycosis"
"68","B419",1,7.25841580988461e-09,"Paracoccidioidomycosis, unspecified"
"69","B4289",1,1.25372636716189e-08,"Other forms of sporotrichosis"
"70","B431",1,1.45168316197692e-08,"Pheomycotic brain abscess"
"71","B481",1,1.94657514901451e-08,"Rhinosporidiosis"
"72","B500",1,1.15474796975437e-08,"Plasmodium falciparum malaria with cerebral complications"
"73","B508",1,9.56791174939335e-09,"Other severe and complicated Plasmodium falciparum malaria"
"74","B552",1,7.25841580988461e-09,"Mucocutaneous leishmaniasis"
"75","B570",1,8.90805576667657e-09,"Acute Chagas' disease with heart involvement"
"76","B583",1,1.02277677321101e-08,"Pulmonary toxoplasmosis"
"77","B6012",1,1.15474796975437e-08,"Conjunctivitis due to Acanthamoeba"
"78","B602",1,4.94891987037587e-09,"Naegleriasis"
"79","B650",1,6.26863183580944e-09,"Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]"
"80","B661",1,1.22073356802605e-08,"Clonorchiasis"
"81","B665",1,1.55066155938444e-08,"Fasciolopsiasis"
"82","B670",1,1.31971196543357e-08,"Echinococcus granulosus infection of liver"
"83","B6799",1,7.588343801243e-09,"Other echinococcosis"
"84","B7309",1,5.60877585309265e-09,"Onchocerciasis with other eye involvement"
"85","B741",1,1.25372636716189e-08,"Filariasis due to Brugia malayi"
"86","B75",1,5.60877585309265e-09,"Trichinellosis"
"87","B768",1,7.25841580988461e-09,"Other hookworm diseases"
"88","B814",1,8.90805576667657e-09,"Mixed intestinal helminthiases"
"89","B872",1,1.31971196543357e-08,"Ocular myiasis"
"90","B873",1,6.26863183580944e-09,"Nasopharyngeal myiasis"
"91","B8781",1,9.56791174939335e-09,"Genitourinary myiasis"
"92","B883",1,1.05576957234685e-08,"External hirudiniasis"
"93","B9730",1,1.12175517061853e-08,"Unspecified retrovirus as the cause of diseases classified elsewhere"
"94","B975",1,2.07854634555787e-08,"Reovirus as the cause of diseases classified elsewhere"
"95","C005",1,2.83738072568217e-08,"Malignant neoplasm of lip, unspecified, inner aspect"
"96","C142",1,1.84759675160699e-08,"Malignant neoplasm of Waldeyer's ring"
"97","C4031",1,1.05576957234685e-08,"Malignant neoplasm of short bones of right lower limb"
"98","C4081",1,1.3527047645694e-08,"Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb"
"99","C4092",1,7.588343801243e-09,"Malignant neoplasm of unspecified bones and articular cartilage of left limb"
"100","C462",1,3.86015749889318e-08,"Kaposi's sarcoma of palate"
"101","C4720",1,1.71562555506364e-08,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip"
"102","C474",1,9.56791174939335e-09,"Malignant neoplasm of peripheral nerves of abdomen"
"103","C4A10",1,1.48467596111276e-08,"Merkel cell carcinoma of unspecified eyelid, including canthus"
"104","C4A52",1,1.38569756370524e-08,"Merkel cell carcinoma of skin of breast"
"105","C50429",1,2.80438792654633e-08,"Malignant neoplasm of upper-outer quadrant of unspecified male breast"
"106","C638",1,2.87037352481801e-08,"Malignant neoplasm of overlapping sites of male genital organs"
"107","C6980",1,1.38569756370524e-08,"Malignant neoplasm of overlapping sites of unspecified eye and adnexa"
"108","C6981",1,5.87271824617937e-08,"Malignant neoplasm of overlapping sites of right eye and adnexa"
"109","C6982",1,6.13666063926608e-08,"Malignant neoplasm of overlapping sites of left eye and adnexa"
"110","C8106",1,4.05811429370821e-08,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes"
"111","C8107",1,3.33227271271975e-08,"Nodular lymphocyte predominant Hodgkin lymphoma, spleen"
"112","C8117",1,2.21051754210122e-08,"Nodular sclerosis Hodgkin lymphoma, spleen"
"113","C8131",1,1.02277677321101e-08,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck"
"114","C8133",1,2.34248873864458e-08,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes"
"115","C8139",1,6.40060303235279e-08,"Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites"
"116","C8227",1,5.57578305395682e-08,"Follicular lymphoma grade III, unspecified, spleen"
"117","C8237",1,4.38804228506661e-08,"Follicular lymphoma grade IIIa, spleen"
"118","C8246",1,4.81694867383252e-08,"Follicular lymphoma grade IIIb, intrapelvic lymph nodes"
"119","C8247",1,4.48702068247412e-08,"Follicular lymphoma grade IIIb, spleen"
"120","C8263",1,8.97404136494825e-08,"Cutaneous follicle center lymphoma, intra-abdominal lymph nodes"
"121","C8265",1,3.49723670839895e-08,"Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb"
"122","C8357",1,4.78395587469668e-08,"Lymphoblastic (diffuse) lymphoma, spleen"
"123","C8372",1,3.76117910148566e-08,"Burkitt lymphoma, intrathoracic lymph nodes"
"124","C8375",1,4.09110709284405e-08,"Burkitt lymphoma, lymph nodes of inguinal region and lower limb"
"125","C8376",1,2.01256074728619e-08,"Burkitt lymphoma, intrapelvic lymph nodes"
"126","C8377",1,1.6826327559278e-08,"Burkitt lymphoma, spleen"
"127","C8392",1,8.90805576667657e-08,"Non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes"
"128","C8394",1,4.15709269111573e-08,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb"
"129","C8395",1,4.19008549025157e-08,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
"130","C8397",1,1.51107020042143e-07,"Non-follicular (diffuse) lymphoma, unspecified, spleen"
"131","C8402",1,1.22073356802605e-08,"Mycosis fungoides, intrathoracic lymph nodes"
"132","C8403",1,1.41869036284108e-08,"Mycosis fungoides, intra-abdominal lymph nodes"
"133","C8407",1,3.53022950753479e-08,"Mycosis fungoides, spleen"
"134","C8411",1,3.23329431531224e-08,"Sezary disease, lymph nodes of head, face, and neck"
"135","C8464",1,7.29140860902045e-08,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb"
"136","C8465",1,3.49723670839895e-08,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb"
"137","C8472",1,6.0706750409944e-08,"Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes"
"138","C84A2",1,1.08876237148269e-08,"Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes"
"139","C84A6",1,5.90571104531521e-08,"Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes"
